MSA
" Bakersfield, CA"
" Fresno-Madera-Hanford, CA"
" Visalia, CA"
" Los Angeles-Long Beach, CA"
" San Jose-San Francisco-Oakland, CA"
" Fairbanks, AK"
" Phoenix-Mesa, AZ"
" Pittsburgh-New Castle-Weirton, PA-OH-WV"
" El Centro, CA"
" Detroit-Warren-Ann Arbor, MI"
" Cleveland-Akron-Canton, OH"
" McAllen-Edinburg, TX"
" Philadelphia-Reading-Camden, PA-NJ-DE-MD"
" Birmingham-Hoover-Talladega, AL"
" Cincinnati-Wilmington-Maysville, OH-KY-IN"
" Indianapolis-Carmel-Muncie, IN"
" Sacramento-Roseville, CA"
" Missoula, MT"
" Shreveport-Bossier City-Minden, LA"
" Chicago-Naperville, IL-IN-WI"
" Medford-Grants Pass, OR"
" Houston-The Woodlands, TX"
" Chico, CA"
" Atlanta-Athens-Clarke County-Sandy Springs, GA-AL"
" Brownsville-Harlingen-Raymondville, TX"
" St. Louis-St. Charles-Farmington, MO-IL"
