,Gas Monthly Avg,month_year,Crude_Oil_Price,M/M Change,Avg_Airfare,U.S. Average (Inflation-Adjusted $),Recession,Adj Month,Adj Year,Unemployment,UE M/M,Inflation Rate,Inflation M/M,Year,Month,Average of Wheat Value,Average of Soybean Value,date
0,1.2788,01-2000,23.53,0.98,340.23,514.89,0,12,1999,4.0,0.0,2.7,0.0,2000,1,2.584625,4.94775,2000-01-01
1,1.3705,02-2000,25.48,1.95,340.23,514.89,0,1,2000,4.1,0.1,3.2,0.5,2000,2,2.6066,5.06395,2000-02-01
2,1.49825,03-2000,26.19,0.71,340.23,514.89,0,2,2000,4.0,-0.1,3.8,0.6,2000,3,2.6059782609999997,5.238043478,2000-03-01
3,1.4365,04-2000,23.2,-2.99,339.16,507.91,0,3,2000,3.8,-0.2,3.1,-0.7,2000,4,2.540052632,5.377421053,2000-04-01
4,1.4564,05-2000,25.58,2.38,339.16,507.91,0,4,2000,4.0,0.2,3.2,0.1,2000,5,2.75875,5.518068182,2000-05-01
5,1.61175,06-2000,27.62,2.04,339.16,507.91,0,5,2000,4.0,0.0,3.7,0.5,2000,6,2.6986818180000003,5.090022727,2000-06-01
6,1.5288,07-2000,26.81,-0.81,339.0,503.65,0,6,2000,4.0,0.0,3.7,0.0,2000,7,2.497125,4.6105,2000-07-01
7,1.43925,08-2000,27.91,1.1,339.0,503.65,0,7,2000,4.1,0.1,3.4,-0.3,2000,8,2.417913043,4.5861521739999995,2000-08-01
8,1.52525,09-2000,29.72,1.81,339.0,503.65,0,8,2000,3.9,-0.2,3.5,0.1,2000,9,2.583375,4.955875,2000-09-01
9,1.5084,10-2000,29.65,-0.07,340.08,502.55,0,9,2000,3.9,0.0,3.4,-0.1,2000,10,2.643977273,4.734068182,2000-10-01
10,1.49475,11-2000,30.36,0.71,340.08,502.55,0,10,2000,3.9,0.0,3.4,0.0,2000,11,2.5938809519999997,4.86702381,2000-11-01
11,1.41825,12-2000,24.46,-5.9,340.08,502.55,0,11,2000,3.9,0.0,3.4,0.0,2000,12,2.729625,5.0708,2000-12-01
12,1.4274,01-2001,24.64,0.18,347.69,508.92,0,12,2000,4.2,0.3,3.7,0.3,2001,1,2.8213095239999997,4.805119048,2001-01-01
13,1.43125,02-2001,25.27,0.63,347.69,508.92,0,1,2001,4.2,0.0,3.5,-0.2,2001,2,2.659210526,4.557026316,2001-02-01
14,1.3840000000000001,03-2001,22.98,-2.29,347.69,508.92,1,2,2001,4.3,0.1,2.9,-0.6,2001,3,2.7311363639999997,4.4906818180000005,2001-03-01
15,1.5172,04-2001,23.39,0.41,328.67,476.11,1,3,2001,4.4,0.1,3.3,0.4,2001,4,2.661,4.3196,2001-04-01
16,1.65375,05-2001,24.06,0.67,328.67,476.11,1,4,2001,4.3,-0.1,3.6,0.3,2001,5,2.6947727269999997,4.426590909,2001-05-01
17,1.5475,06-2001,23.43,-0.63,328.67,476.11,1,5,2001,4.5,0.2,3.2,-0.4,2001,6,2.584071429,4.62547619,2001-06-01
18,1.3402,07-2001,22.82,-0.61,320.62,463.85,1,6,2001,4.6,0.1,2.7,-0.5,2001,7,2.7835714289999998,5.060666667,2001-07-01
19,1.38625,08-2001,23.08,0.26,320.62,463.85,1,7,2001,4.9,0.3,2.7,0.0,2001,8,2.71326087,4.967043478,2001-08-01
20,1.50625,09-2001,22.37,-0.71,320.62,463.85,1,8,2001,5.0,0.1,2.6,-0.1,2001,9,2.743676471,4.709264706,2001-09-01
21,1.2738,10-2001,18.73,-3.64,299.81,434.96,1,9,2001,5.3,0.3,2.1,-0.5,2001,10,2.803043478,4.378521739,2001-10-01
22,1.1385,11-2001,16.4,-2.33,299.81,434.96,1,10,2001,5.5,0.2,1.9,-0.2,2001,11,2.840761905,4.44,2001-11-01
23,1.072,12-2001,15.54,-0.86,299.81,434.96,0,11,2001,5.7,0.2,1.6,-0.3,2001,12,2.865,4.359052632,2001-12-01
24,1.094,01-2002,15.89,0.35,320.02,462.63,0,12,2001,5.7,0.0,1.1,-0.5,2002,1,2.988571429,4.355714286,2002-01-01
25,1.08975,02-2002,16.93,1.04,320.02,462.63,0,1,2002,5.7,0.0,1.1,0.0,2002,2,2.798921053,4.363894737,2002-02-01
26,1.2205,03-2002,20.28,3.35,320.02,462.63,0,2,2002,5.7,0.0,1.5,0.4,2002,3,2.8085,4.628125,2002-03-01
27,1.3618,04-2002,22.52,2.24,317.93,454.66,0,3,2002,5.9,0.2,1.6,0.1,2002,4,2.714636364,4.6663181819999995,2002-04-01
28,1.35325,05-2002,23.51,0.99,317.93,454.66,0,4,2002,5.8,-0.1,1.2,-0.4,2002,5,2.7398863639999997,4.820454545,2002-05-01
29,1.3405,06-2002,22.59,-0.92,317.93,454.66,0,5,2002,5.8,0.0,1.1,-0.1,2002,6,2.89525,5.037775,2002-06-01
30,1.364,07-2002,23.51,0.92,312.33,444.76,0,6,2002,5.8,0.0,1.5,0.4,2002,7,3.27875,5.584159091,2002-07-01
31,1.358,08-2002,24.76,1.25,312.33,444.76,0,7,2002,5.7,-0.1,1.8,0.3,2002,8,3.479840909,5.606931818,2002-08-01
32,1.3634,09-2002,26.08,1.32,312.33,444.76,0,8,2002,5.7,0.0,1.5,-0.3,2002,9,4.007125,5.645625,2002-09-01
33,1.4269999999999998,10-2002,25.29,-0.79,308.85,438.43,0,9,2002,5.7,0.0,2.0,0.5,2002,10,3.936195652,5.446434783,2002-10-01
34,1.38475,11-2002,23.38,-1.91,308.85,438.43,0,10,2002,5.9,0.2,2.2,0.2,2002,11,3.86295,5.699375,2002-11-01
35,1.3484,12-2002,25.29,1.91,308.85,438.43,0,11,2002,6.0,0.1,2.4,0.2,2002,12,3.507375,5.6629,2002-12-01
36,1.4235,01-2003,28.42,3.13,319.19,448.56,0,12,2002,5.8,-0.2,2.6,0.2,2003,1,3.195119048,5.651190476,2003-01-01
37,1.5819999999999999,02-2003,31.85,3.43,319.19,448.56,0,1,2003,5.9,0.1,3.0,0.4,2003,2,3.256052632,5.703815789,2003-02-01
38,1.636,03-2003,30.1,-1.75,319.19,448.56,0,2,2003,5.9,0.0,3.0,0.0,2003,3,2.970119048,5.716309524,2003-03-01
39,1.517,04-2003,25.45,-4.65,314.52,440.4,0,3,2003,6.0,0.1,2.2,-0.8,2003,4,2.8605714289999997,6.037285713999999,2003-04-01
40,1.43775,05-2003,24.95,-0.5,314.52,440.4,0,4,2003,6.1,0.1,2.1,-0.1,2003,5,3.179047619,6.342261905,2003-05-01
41,1.4516,06-2003,26.84,1.89,314.52,440.4,0,5,2003,6.3,0.2,2.1,0.0,2003,6,3.161238095,6.24752381,2003-06-01
