Year,Month,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $)
2000,1,340.23,514.89
2000,2,340.23,514.89
2000,3,340.23,514.89
2000,4,339.16,507.91
2000,5,339.16,507.91
2000,6,339.16,507.91
2000,7,339,503.65
2000,8,339,503.65
2000,9,339,503.65
2000,10,340.08,502.55
2000,11,340.08,502.55
2000,12,340.08,502.55
2001,1,347.69,508.92
2001,2,347.69,508.92
2001,3,347.69,508.92
2001,4,328.67,476.11
2001,5,328.67,476.11
2001,6,328.67,476.11
2001,7,320.62,463.85
2001,8,320.62,463.85
2001,9,320.62,463.85
2001,10,299.81,434.96
2001,11,299.81,434.96
2001,12,299.81,434.96
2002,1,320.02,462.63
2002,2,320.02,462.63
2002,3,320.02,462.63
2002,4,317.93,454.66
2002,5,317.93,454.66
2002,6,317.93,454.66
2002,7,312.33,444.76
2002,8,312.33,444.76
2002,9,312.33,444.76
2002,10,308.85,438.43
2002,11,308.85,438.43
2002,12,308.85,438.43
2003,1,319.19,448.56
2003,2,319.19,448.56
2003,3,319.19,448.56
2003,4,314.52,440.4
2003,5,314.52,440.4
2003,6,314.52,440.4
2003,7,315.36,439.42
2003,8,315.36,439.42
2003,9,315.36,439.42
2003,10,315.77,439.92
2003,11,315.77,439.92
2003,12,315.77,439.92
2004,1,320.23,442.14
2004,2,320.23,442.14
2004,3,320.23,442.14
2004,4,309.45,421.22
2004,5,309.45,421.22
2004,6,309.45,421.22
2004,7,305.41,414.26
2004,8,305.41,414.26
2004,9,305.41,414.26
2004,10,297.28,400.84
2004,11,297.28,400.84
2004,12,297.28,400.84
2005,1,301.39,403.84
2005,2,301.39,403.84
2005,3,301.39,403.84
2005,4,306.68,405.51
2005,5,306.68,405.51
2005,6,306.68,405.51
2005,7,307.31,401.45
2005,8,307.31,401.45
2005,9,307.31,401.45
2005,10,314.76,409.11
2005,11,314.76,409.11
2005,12,314.76,409.11
2006,1,323.34,418
2006,2,323.34,418
2006,3,323.34,418
2006,4,341.58,434.24
2006,5,341.58,434.24
2006,6,341.58,434.24
2006,7,328.55,415.34
2006,8,328.55,415.34
