Month,Year,Inflation Rate,Recessionary State,Unemployment
1,2000,2.7,,4
2,2000,3.2,,4.1
3,2000,3.8,,4
4,2000,3.1,,3.8
5,2000,3.2,,4
6,2000,3.7,,4
7,2000,3.7,,4
8,2000,3.4,,4.1
9,2000,3.5,,3.9
10,2000,3.4,,3.9
11,2000,3.4,,3.9
12,2000,3.4,,3.9
1,2001,3.7,,4.2
2,2001,3.5,,4.2
3,2001,2.9,Recession,4.3
4,2001,3.3,Recession,4.4
5,2001,3.6,Recession,4.3
6,2001,3.2,Recession,4.5
7,2001,2.7,Recession,4.6
8,2001,2.7,Recession,4.9
9,2001,2.6,Recession,5
10,2001,2.1,Recession,5.3
11,2001,1.9,Recession,5.5
12,2001,1.6,,5.7
1,2002,1.1,,5.7
2,2002,1.1,,5.7
3,2002,1.5,,5.7
4,2002,1.6,,5.9
5,2002,1.2,,5.8
6,2002,1.1,,5.8
7,2002,1.5,,5.8
8,2002,1.8,,5.7
9,2002,1.5,,5.7
10,2002,2,,5.7
11,2002,2.2,,5.9
12,2002,2.4,,6
1,2003,2.6,,5.8
2,2003,3,,5.9
3,2003,3,,5.9
4,2003,2.2,,6
5,2003,2.1,,6.1
6,2003,2.1,,6.3
7,2003,2.1,,6.2
8,2003,2.2,,6.1
9,2003,2.3,,6.1
10,2003,2,,6
11,2003,1.8,,5.8
12,2003,1.9,,5.7
1,2004,1.9,,5.7
2,2004,1.7,,5.6
3,2004,1.7,,5.8
4,2004,2.3,,5.6
5,2004,3.1,,5.6
6,2004,3.3,,5.6
7,2004,3,,5.5
8,2004,2.7,,5.4
9,2004,2.5,,5.4
10,2004,3.2,,5.5
11,2004,3.5,,5.4
12,2004,3.3,,5.4
1,2005,3,,5.3
2,2005,3,,5.4
3,2005,3.1,,5.2
4,2005,3.5,,5.2
5,2005,2.8,,5.1
6,2005,2.5,,5
7,2005,3.2,,5
8,2005,3.6,,4.9
9,2005,4.7,,5
10,2005,4.3,,5
11,2005,3.5,,5
12,2005,3.4,,4.9
1,2006,4,,4.7
2,2006,3.6,,4.8
3,2006,3.4,,4.7
4,2006,3.5,,4.7
5,2006,4.2,,4.6
6,2006,4.3,,4.6
7,2006,4.1,,4.7
8,2006,3.8,,4.7
9,2006,2.1,,4.5
10,2006,1.3,,4.4
11,2006,2,,4.5
12,2006,2.5,,4.4
1,2007,2.1,,4.6
2,2007,2.4,,4.5
3,2007,2.8,,4.4
4,2007,2.6,,4.5
5,2007,2.7,,4.4
6,2007,2.7,,4.6
7,2007,2.4,,4.7
8,2007,2,,4.6
9,2007,2.8,,4.7
10,2007,3.5,,4.7
11,2007,4.3,,4.7
12,2007,4.1,Recession,5
1,2008,4.3,Recession,5
2,2008,4,Recession,4.9
3,2008,4,Recession,5.1
4,2008,3.9,Recession,5
5,2008,4.2,Recession,5.4
6,2008,5,Recession,5.6
7,2008,5.6,Recession,5.8
8,2008,5.4,Recession,6.1
9,2008,4.9,Recession,6.1
10,2008,3.7,Recession,6.5
11,2008,1.1,Recession,6.8
12,2008,0.1,Recession,7.3
1,2009,0,Recession,7.8
2,2009,0.2,Recession,8.3
3,2009,-0.4,Recession,8.7
4,2009,-0.7,Recession,9
5,2009,-1.3,Recession,9.4
6,2009,-1.4,Recession,9.5
7,2009,-2.1,,9.5
