Date,Open,High,Low,Close*,Adj Close**,Volume
22-May-20,38.41,38.52,37.69,38.48,38.48,"19,103,409"
1-May-20,37.22,39.63,34.3,38.48,38.48,"444,985,500"
1-Apr-20,28.12,39.08,27.23,38,38,"926,819,700"
1-Mar-20,46.28,47.99,22.88,29.06,28.42,"985,547,400"
1-Feb-20,53.37,55.4,43.52,45.27,44.28,"485,141,300"
1-Jan-20,60.44,61.31,53.16,53.44,52.27,"349,279,400"
1-Dec-19,59.09,62.44,57.8,60.04,56.47,"283,019,400"
1-Nov-19,58.25,61.83,58.09,58.89,55.39,"264,396,800"
1-Oct-19,59.4,60.06,55.64,57.96,54.51,"317,613,800"
1-Sep-19,56.55,63.65,56.38,59.2,55.18,"350,628,200"
1-Aug-19,62.01,62.3,55.55,57.48,53.57,"378,842,600"
1-Jul-19,64.5,64.71,61.74,62.7,58.44,"225,625,800"
1-Jun-19,59.17,63.93,59.08,63.71,58.84,"291,846,100"
1-May-19,66.13,66.33,58.77,58.77,54.28,"333,142,100"
1-Apr-19,66.56,68.81,65.61,66.11,61.06,"252,909,800"
1-Mar-19,65.6,67.42,63.31,66.12,60.59,"306,595,100"
1-Feb-19,64.47,66.93,61.87,65.25,59.79,"209,874,900"
1-Jan-19,56.44,64.08,56.15,63.78,58.45,"333,689,000"
1-Dec-18,67.62,67.99,53.36,57.35,52.07,"477,197,000"
1-Nov-18,67.3,70.37,63.44,66.11,60.02,"403,394,800"
1-Oct-18,76.02,78.36,64.37,67.16,60.97,"434,624,500"
1-Sep-18,74.78,77.01,71.78,75.74,68.29,"231,780,300"
1-Aug-18,76.45,76.5,71.7,74.44,67.12,"256,055,200"
1-Jul-18,75.41,78,73.98,77.12,69.54,"249,231,000"
1-Jun-18,76.28,77.65,73.14,75.94,68.02,"307,137,000"
1-May-18,73.44,79.42,72.43,76.02,68.09,"368,692,400"
1-Apr-18,67.15,74.67,64.93,73.81,66.11,"325,302,000"
1-Mar-18,66.67,69.02,65.65,67.41,59.95,"298,143,200"
1-Feb-18,74.95,75.67,64.45,66.74,59.35,"396,020,700"
1-Jan-18,72.62,78.39,72.39,74.85,66.57,"296,575,500"
1-Dec-17,69.59,72.72,66.69,72.26,63.84,"222,031,900"
1-Nov-17,68.32,70.47,66.91,67.1,59.28,"398,180,100"
1-Oct-17,67.75,68.93,66.34,67.91,59.99,"214,843,500"
1-Sep-17,63.07,68.9,62.91,68.48,59.71,"259,606,700"
1-Aug-17,66.66,66.99,61.8,62.97,54.91,"283,553,400"
1-Jul-17,65.15,67.13,63.29,66.62,58.09,"310,718,600"
1-Jun-17,65.47,67.55,63.64,64.92,56.22,"412,892,800"
1-May-17,67.82,68.87,65.1,65.44,56.67,"336,386,700"
1-Apr-17,70.01,71.49,67.11,67.84,58.75,"282,260,400"
1-Mar-17,72.04,73.14,67.86,69.9,60.17,"382,138,100"
1-Feb-17,73.29,73.78,70.63,71.38,61.45,"246,765,900"
1-Jan-17,76.11,76.81,72.13,72.9,62.75,"227,973,500"
1-Dec-16,75.81,78.45,74.36,75.32,64.5,"290,149,800"
1-Nov-16,69.13,75.12,67,74.43,63.73,"368,265,600"
1-Oct-16,70.73,71.98,68.5,68.62,58.76,"264,801,500"
1-Sep-16,68.22,71.94,66.14,70.61,60.1,"400,166,200"
1-Aug-16,66.79,71,64.57,68.51,58.31,"354,955,200"
1-Jul-16,68.16,69.82,65.69,67.38,57.35,"241,065,400"
1-Jun-16,66.22,70.26,64.11,68.24,57.7,"332,050,300"
1-May-16,67.38,67.92,63.5,66.87,56.54,"290,212,200"
1-Apr-16,60.82,68.82,59.94,67.5,57.08,"377,361,300"
1-Mar-16,56.98,64.28,56.4,61.89,51.96,"497,520,400"
1-Feb-16,57.24,58.52,52.37,56.58,47.5,"584,068,500"
1-Jan-16,60.16,60.78,49.93,58.21,48.87,"614,673,100"
1-Dec-15,68.08,68.62,58.21,60.32,50.19,"554,894,900"
1-Nov-15,67.62,71.93,65.2,68.02,56.6,"320,363,500"
1-Oct-15,61.98,69.67,60.51,68.03,56.6,"438,010,500"
1-Sep-15,64.52,66.44,59.39,61.2,50.55,"377,168,200"
1-Aug-15,68.64,70.74,58.74,66.43,54.87,"486,283,800"
1-Jul-15,75.31,75.34,68.21,69.38,57.31,"318,690,800"
1-Jun-15,78.59,79.11,74.58,75.16,61.67,"243,092,900"
1-May-15,82.76,83.66,77.98,78.39,64.32,"250,016,900"
1-Apr-15,77.83,83.38,77.02,82.68,67.84,"287,119,800"
1-Mar-15,78.86,79.23,73.82,77.58,63.23,"369,338,300"
