,month_year,cbsa_code,site,aqi,Manufacturing,"Mining, quarrying, and oil and gas extraction",Transportation and warehousing,Utilities,Wholesale trade,10300,11460,16980,17140,18020,18820,19820,22420,24700,26900,31080,32500,33780,34620,34900,35220,35860,36860,37100,40140,41940,42100,42220,42980,44700,46700,48940,sector,emp,estab,Crude_Oil_Price
0,12-2016,46700,0004,47.59016393442623,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Mining, quarrying, and oil and gas extraction",165.0,6.0,47.12
1,12-2016,46700,0004,47.59016393442623,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Utilities,586.0,10.0,47.12
2,12-2016,46700,0004,47.59016393442623,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Manufacturing,9272.0,247.0,47.12
3,12-2016,46700,0004,47.59016393442623,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Wholesale trade,4882.0,293.0,47.12
4,12-2016,26900,0011,36.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mining, quarrying, and oil and gas extraction",557.0,46.0,47.12
5,12-2016,26900,0011,36.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Utilities,4559.0,103.0,47.12
6,12-2016,26900,0011,36.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manufacturing,77323.0,1684.0,47.12
7,12-2016,26900,0011,36.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wholesale trade,46612.0,2617.0,47.12
8,12-2016,26900,0007,34.43589743589744,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mining, quarrying, and oil and gas extraction",557.0,46.0,47.12
9,12-2016,26900,0007,34.43589743589744,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Utilities,4559.0,103.0,47.12
10,12-2016,26900,0007,34.43589743589744,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manufacturing,77323.0,1684.0,47.12
11,12-2016,26900,0007,34.43589743589744,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wholesale trade,46612.0,2617.0,47.12
12,12-2016,26900,0043,43.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mining, quarrying, and oil and gas extraction",557.0,46.0,47.12
13,12-2016,26900,0043,43.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Utilities,4559.0,103.0,47.12
14,12-2016,26900,0043,43.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manufacturing,77323.0,1684.0,47.12
15,12-2016,26900,0043,43.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wholesale trade,46612.0,2617.0,47.12
16,12-2016,26900,0078,35.907407407407405,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mining, quarrying, and oil and gas extraction",557.0,46.0,47.12
17,12-2016,26900,0078,35.907407407407405,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Utilities,4559.0,103.0,47.12
18,12-2016,26900,0078,35.907407407407405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manufacturing,77323.0,1684.0,47.12
19,12-2016,26900,0078,35.907407407407405,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wholesale trade,46612.0,2617.0,47.12
20,12-2016,26900,0083,40.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mining, quarrying, and oil and gas extraction",557.0,46.0,47.12
21,12-2016,26900,0083,40.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Utilities,4559.0,103.0,47.12
22,12-2016,26900,0083,40.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manufacturing,77323.0,1684.0,47.12
23,12-2016,26900,0083,40.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wholesale trade,46612.0,2617.0,47.12
24,12-2016,26900,0087,41.58536585365854,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mining, quarrying, and oil and gas extraction",557.0,46.0,47.12
25,12-2016,26900,0087,41.58536585365854,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Utilities,4559.0,103.0,47.12
26,12-2016,26900,0087,41.58536585365854,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manufacturing,77323.0,1684.0,47.12
27,12-2016,26900,0087,41.58536585365854,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wholesale trade,46612.0,2617.0,47.12
28,12-2016,26900,0081,36.63333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mining, quarrying, and oil and gas extraction",557.0,46.0,47.12
29,12-2016,26900,0081,36.63333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Utilities,4559.0,103.0,47.12
