National Highway Traffic Safety Administration (NHTSA) Motor Vehicle Crash Data Querying and Reporting,,,,,,,,,,,,,
,,,,,,,,,,,,,
Motor Vehicle Crashes,,,,,,,,,,,,,
,,,,,,,,,,,,,
State: Texas and City: Brownsville,,,,,,,,,,,,,
,,,,,,,,,,,,,
Years: 2004-2018,,,,,,,,,,,,,
,,,,,,,,,,,,,
Crash Date (Year),Crash Date (Month),,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Total
2004,1,1,0,2,0,0,2,1,0,0,3,1,11
2005,0,1,1,1,0,2,2,0,1,0,1,0,9
2006,0,0,3,0,0,1,0,0,2,0,0,0,6
2007,1,0,1,3,0,1,1,1,0,0,3,1,12
2008,0,0,2,1,0,2,2,2,1,1,0,1,12
2009,2,1,1,2,0,1,4,1,0,0,0,0,12
2010,1,2,2,1,0,0,2,1,0,3,2,0,14
2011,1,1,1,6,2,1,0,0,0,0,1,0,13
2012,0,2,2,1,1,1,1,0,2,1,0,1,12
2013,0,1,0,4,0,1,0,2,0,2,1,0,11
2014,1,1,0,1,1,1,0,1,1,0,3,0,10
2015,0,0,1,0,0,1,0,0,0,0,0,1,3
2016,0,2,1,2,1,2,1,3,0,1,0,1,14
2017,0,0,2,0,1,0,1,2,0,1,0,3,10
2018,0,2,1,1,2,2,3,0,1,2,1,1,16
Total,7,14,18,25,8,16,19,14,8,11,15,10,165
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data Sources:,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fatality Analysis Reporting System (FARS): 2004-2017 Final File and 2018 Annual Report File (ARF),,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
Report Generated: Saturday, May 16, 2020 (2:28:47 AM),,,,,,,,,,,
,,,,,,,,,,,,,
VERSION 2.1, RELEASED MAY 7,2020,,,,,,,,,,,
