,Crude_Oil_Price,M/M Change,month_year,Recession,Unemployment,UE M/M,Inflation Rate,Inflation M/M,GDP (Trillion),GDP Rate M/M,Soybean,Wheat,Car Sales (thousands),date,Monthly Gold AVG,Dow Price
0,14.04,0.05,02-1992,0,7.4,0.1,2.8,0.2,9.48,-5.00%,211.1595749,177.1306,988.5,1992-02-01,353.1,3257.273707
1,14.12,0.08,03-1992,0,7.4,0.0,3.2,0.4,9.521,5.30%,216.14343689999998,169.3507385,1128.4,1992-03-01,341.7,3247.422729
2,15.36,1.24,04-1992,0,7.4,0.0,3.2,0.0,9.6,10.40%,211.29737749999998,159.9311981,1144.9,1992-04-01,336.4,3294.093355
3,16.38,1.02,05-1992,0,7.6,0.2,3.0,-0.2,9.606,0.80%,220.36938450000002,149.68911740000001,1169.7,1992-05-01,337.5,3376.7849850000002
4,17.96,1.58,06-1992,0,7.8,0.2,3.1,0.1,9.589,-2.10%,224.3886281,148.6657257,1297.0,1992-06-01,343.4,3337.7890850000003
5,17.8,-0.16,07-1992,0,7.7,-0.1,3.2,0.1,9.717,17.20%,208.1049497,136.3190155,1158.2,1992-07-01,357.9,3329.409102
6,17.07,-0.73,08-1992,0,7.6,-0.1,3.1,-0.1,9.734,2.10%,202.8684495,128.1684875,1065.2,1992-08-01,340.0,3307.455253
7,17.2,0.13,09-1992,0,7.6,0.0,3.0,-0.1,9.715,-2.30%,202.89141659999999,138.7357941,1095.4,1992-09-01,349.0,3293.924747
8,17.16,-0.04,10-1992,0,7.3,-0.3,3.2,0.2,9.749,4.30%,197.6778835,140.58128359999998,1132.2,1992-10-01,339.3,3198.6999960000003
9,16.0,-1.16,11-1992,0,7.4,0.1,3.0,-0.2,9.802999999999999,6.90%,205.2110943,147.5741882,988.6,1992-11-01,334.2,3238.48999
10,14.94,-1.06,12-1992,0,7.4,0.0,2.9,-0.1,9.831,3.50%,208.90879850000002,147.827652,1070.7,1992-12-01,332.9,3303.155007
11,14.7,-0.24,01-1993,0,7.3,-0.1,3.3,0.4,9.867,4.50%,212.33089730000003,155.65077209999998,915.3,1993-01-01,330.5,3277.7274899999998
12,15.53,0.83,02-1993,0,7.1,-0.2,3.2,-0.1,9.852,-1.80%,210.03418670000002,148.8843842,976.1,1993-02-01,327.6,3367.2589299999995
13,15.94,0.41,03-1993,0,7.0,-0.1,3.1,-0.1,9.868,2.00%,214.12233160000002,147.8996582,1228.9,1993-03-01,337.8,3440.738706
14,16.15,0.21,04-1993,0,7.1,0.1,3.2,0.1,9.831,-4.40%,217.682233,141.9924011,1273.5,1993-04-01,354.3,3423.625244
15,16.03,-0.12,05-1993,0,7.1,0.0,3.2,0.0,9.87,4.90%,221.4947727,136.58081049999998,1342.2,1993-05-01,377.5,3478.173486
16,15.06,-0.97,06-1993,0,7.0,-0.1,3.0,-0.2,9.927999999999999,7.30%,221.90818059999998,121.8177872,1383.1,1993-06-01,378.5,3513.814542
17,13.83,-1.23,07-1993,0,6.9,-0.1,2.8,-0.2,9.925,-0.40%,258.8392874,127.52239990000001,1266.9,1993-07-01,401.8,3529.4333030000003
18,13.75,-0.08,08-1993,0,6.8,-0.1,2.8,0.0,9.904,-2.50%,246.643754,129.79701229999998,1158.8,1993-08-01,371.6,3597.013172
19,13.39,-0.36,09-1993,0,6.7,-0.1,2.7,-0.1,9.943,4.80%,236.05591800000002,131.2943115,1164.6,1993-09-01,355.5,3592.288586
20,13.72,0.33,10-1993,0,6.8,0.1,2.8,0.1,10.02,9.70%,226.08819390000002,135.9561615,1182.5,1993-10-01,369.6,3625.80857
21,12.45,-1.27,11-1993,0,6.6,-0.2,2.7,-0.1,10.02,0.00%,243.9336355,146.50160219999998,1140.9,1993-11-01,370.9,3674.698579
22,10.38,-2.07,12-1993,0,6.5,-0.1,2.7,0.0,10.11,11.30%,252.5233332,158.6453857,1152.7,1993-12-01,391.8,3744.1040700000003
23,10.49,0.11,01-1994,0,6.6,0.1,2.5,-0.2,10.14,3.60%,255.6009255,153.2079773,1045.5,1994-01-01,377.9,3868.364769
24,10.71,0.22,02-1994,0,6.6,0.0,2.5,0.0,10.14,0.00%,249.67541200000002,147.0375214,1170.9,1994-02-01,381.6,3905.618935
25,10.94,0.23,03-1994,0,6.5,-0.1,2.5,0.0,10.2,7.30%,250.54816209999998,141.0437775,1472.2,1994-03-01,389.2,3816.9839079999997
26,12.31,1.37,04-1994,0,6.4,-0.1,2.4,-0.1,10.23,3.60%,242.7623131,140.45266719999998,1337.9,1994-04-01,376.5,3661.484735
27,14.02,1.71,05-1994,0,6.1,-0.3,2.3,-0.1,10.26,3.60%,250.22662259999998,140.1473541,1382.1,1994-05-01,387.6,3707.9923740000004
28,14.93,0.91,06-1994,0,6.1,0.0,2.5,0.2,10.36,12.30%,249.60651069999997,139.3044281,1479.6,1994-06-01,388.3,3737.582264
29,15.34,0.41,07-1994,0,6.1,0.0,2.8,0.3,10.35,-1.20%,223.2402728,137.6004486,1219.5,1994-07-01,384.0,3718.299988
30,14.5,-0.84,08-1994,0,6.0,-0.1,2.9,0.1,10.35,0.00%,214.0993645,146.0241241,1329.3,1994-08-01,385.8,3797.4769549999996
31,13.62,-0.88,09-1994,0,5.9,-0.1,3.0,0.1,10.43,9.70%,207.87527869999997,158.78514099999998,1252.1,1994-09-01,394.9,3880.598575
32,13.84,0.22,10-1994,0,5.8,-0.1,2.6,-0.4,10.38,-5.60%,198.7114033,167.1880646,1291.8,1994-10-01,383.9,3868.09904
33,14.14,0.3,11-1994,0,5.6,-0.2,2.7,0.1,10.48,12.20%,205.3948312,161.9867706,1197.9,1994-11-01,383.1,3792.4314310000004
34,13.43,-0.71,12-1994,0,5.5,-0.1,2.7,0.0,10.47,-1.10%,206.38241680000002,164.6217499,1218.9,1994-12-01,383.3,3770.3061869999997
35,14.0,0.57,01-1995,0,5.6,0.1,2.8,0.1,10.57,12.10%,202.50097580000002,156.213089,1031.5,1995-01-01,374.9,3872.456647
36,14.71,0.71,02-1995,0,5.4,-0.2,2.9,0.1,10.58,1.10%,203.6493311,154.420105,1128.7,1995-02-01,376.4,3953.7163219999998
37,14.68,-0.03,03-1995,0,5.4,0.0,2.9,0.0,10.5,-8.70%,209.34517350000002,150.3859863,1403.3,1995-03-01,392.0,4062.777811
38,15.84,1.16,04-1995,0,5.8,0.4,3.1,0.2,10.55,5.90%,211.27441040000002,148.978653,1216.0,1995-04-01,389.8,4230.660028
39,15.85,0.01,05-1995,0,5.6,-0.2,3.2,0.1,10.52,-3.40%,211.6418841,158.611557,1427.5,1995-05-01,384.3,4391.570934
40,15.02,-0.83,06-1995,0,5.6,0.0,3.0,-0.2,10.55,3.50%,216.6487133,169.9807892,1477.2,1995-06-01,387.1,4510.76001
41,14.01,-1.01,07-1995,0,5.7,0.1,2.8,-0.2,10.65,12.00%,226.91500980000004,190.0852814,1255.3,1995-07-01,383.4,4684.7579829999995
42,14.13,0.12,08-1995,0,5.7,0.0,2.6,-0.2,10.6,-5.50%,218.9224568,184.39329530000003,1365.2,1995-08-01,382.4,4639.268236
43,14.49,0.36,09-1995,0,5.6,-0.1,2.5,-0.1,10.66,7.00%,232.587885,193.6712799,1214.4,1995-09-01,384.0,4746.760034
44,13.68,-0.81,10-1995,0,5.5,-0.1,2.8,0.3,10.74,9.40%,240.99384590000003,203.79174799999998,1226.0,1995-10-01,382.7,4760.458163
45,14.03,0.35,11-1995,0,5.6,0.1,2.6,-0.2,10.69,-5.40%,249.7443134,204.0673218,1169.1,1995-11-01,387.8,4935.8113840000005
46,15.02,0.99,12-1995,0,5.6,0.0,2.5,-0.1,10.71,2.30%,263.9609521,208.924942,1202.6,1995-12-01,387.0,5136.1044679999995
47,15.43,0.41,01-1996,0,5.6,0.0,2.7,0.2,10.81,11.80%,270.11613660000006,196.4283017,1050.6,1996-01-01,405.6,5179.375
48,15.54,0.11,02-1996,0,5.5,-0.1,2.7,0.0,10.79,-2.20%,268.25580099999996,206.16696399999998,1237.9,1996-02-01,400.7,5518.732519
49,17.63,2.09,03-1996,0,5.5,0.0,2.8,0.1,10.8,1.10%,265.7753535,205.25712080000002,1404.4,1996-03-01,396.4,5612.240979
50,19.58,1.95,04-1996,0,5.6,0.1,2.9,0.1,10.86,6.90%,290.4190585,239.51621569999998,1359.3,1996-04-01,391.3,5579.864351
51,17.94,-1.64,05-1996,0,5.6,0.0,2.9,0.0,11.01,17.90%,295.51775610000004,248.59486830000003,1522.9,1996-05-01,390.6,5616.7077420000005
52,16.94,-1,06-1996,0,5.3,-0.3,2.8,-0.1,10.97,-4.30%,284.6083807,215.2260275,1404.2,1996-06-01,382.0,5671.508008
53,17.63,0.69,07-1996,0,5.5,0.2,3.0,0.2,11.02,5.60%,288.76542689999997,196.3869106,1317.3,1996-07-01,385.3,5496.263139
54,18.29,0.66,08-1996,0,5.1,-0.4,2.9,-0.1,11.06,4.40%,296.2986377,181.49701169999997,1333.4,1996-08-01,386.5,5685.498157999999
55,19.93,1.64,09-1996,0,5.2,0.1,3.0,0.1,11.09,3.30%,297.4929273,170.98052890000002,1231.4,1996-09-01,379.0,5804.008496
56,21.09,1.16,10-1996,0,5.2,0.0,3.0,0.0,11.14,5.50%,259.80390589999996,169.59598490000002,1296.6,1996-10-01,379.5,5996.210428
57,20.2,-0.89,11-1996,0,5.4,0.2,3.3,0.3,11.21,7.80%,255.279386,169.26582439999999,1146.4,1996-11-01,371.3,6318.36355
58,21.34,1.14,12-1996,0,5.4,0.0,3.3,0.0,11.23,2.20%,257.1626887,167.8310717,1151.8,1996-12-01,369.3,6435.869094
59,21.76,0.42,01-1997,0,5.3,-0.1,3.0,-0.3,11.19,-4.20%,268.0950313,167.7907526,1114.6,1997-01-01,345.5,6707.030473
60,19.38,-2.38,02-1997,0,5.2,-0.1,3.0,0.0,11.26,7.80%,280.5432028,164.17070269999996,1177.4,1997-02-01,358.6,6917.457365
61,17.83,-1.55,03-1997,0,5.2,0.0,2.8,-0.2,11.34,8.90%,305.875921,167.7085929,1425.9,1997-03-01,348.2,6901.116553
62,16.63,-1.2,04-1997,0,5.1,-0.1,2.5,-0.3,11.26,-8.10%,313.3631977,175.56792,1310.3,1997-04-01,340.2,6657.490011999999
63,17.23,0.6,05-1997,0,4.9,-0.2,2.2,-0.3,11.51,30.10%,319.8399216,168.402905,1435.8,1997-05-01,345.6,7242.320522
64,15.88,-1.35,06-1997,0,5.0,0.1,2.3,0.1,11.4,-10.90%,304.7734999,141.2006619,1355.0,1997-06-01,334.6,7599.606166
65,15.89,0.01,07-1997,0,4.9,-0.1,2.2,-0.1,11.5,11.00%,281.1633147,130.4080657,1376.6,1997-07-01,326.4,7990.647217
66,16.19,0.3,08-1997,0,4.8,-0.1,2.2,0.0,11.6,10.90%,267.5897549,139.3459816,1348.2,1997-08-01,325.4,7948.4218980000005
67,16.41,0.22,09-1997,0,4.9,0.1,2.2,0.0,11.63,3.10%,255.2104847,138.23969499999998,1238.5,1997-09-01,332.1,7866.5857049999995
68,17.66,1.25,10-1997,0,4.7,-0.2,2.1,-0.1,11.63,0.00%,250.75486600000002,136.20717480000002,1282.0,1997-10-01,311.4,7875.817404
69,16.83,-0.83,11-1997,0,4.6,-0.1,1.8,-0.3,11.7,7.50%,265.4308469,135.3820398,1146.1,1997-11-01,296.8,7677.351049
70,15.04,-1.79,12-1997,0,4.7,0.1,1.7,-0.1,11.68,-2.00%,254.5903728,129.7291066,1287.7,1997-12-01,290.2,7909.824019
71,13.45,-1.59,01-1998,0,4.6,-0.1,1.6,-0.1,11.77,9.60%,246.000675,127.35020829999999,1044.1,1998-01-01,304.9,7808.348022
72,12.17,-1.28,02-1998,0,4.6,0.0,1.4,-0.2,11.71,-5.90%,247.42463560000002,128.308884,1173.0,1998-02-01,297.4,8323.605751000001
73,11.15,-1.02,03-1998,0,4.7,0.1,1.4,0.0,11.88,18.90%,240.1210958,128.2353967,1405.5,1998-03-01,301.0,8709.474476000001
74,11.28,0.13,04-1998,0,4.3,-0.4,1.4,0.0,11.91,3.10%,235.09129959999999,118.197695,1390.9,1998-04-01,310.7,9037.439081
75,11.13,-0.15,05-1998,0,4.4,0.1,1.7,0.3,11.89,-2.00%,236.14778650000002,118.3496006,1543.9,1998-05-01,293.6,9080.072168
76,10.0,-1.13,06-1998,0,4.5,0.1,1.7,0.0,11.92,3.10%,231.11799019999998,112.36881329999999,1606.6,1998-06-01,296.3,8872.960405
77,10.44,0.44,07-1998,0,4.5,0.0,1.7,0.0,12.02,10.50%,232.4271153,106.62053540000001,1264.9,1998-07-01,288.9,9097.137340000001
78,10.2,-0.24,08-1998,0,4.5,0.0,1.6,-0.1,12.0,-2.00%,202.24833759999999,97.00328,1265.1,1998-08-01,273.4,8478.518090000001
79,11.29,1.09,09-1998,0,4.6,0.1,1.5,-0.1,12.06,6.20%,193.3371004,97.57113667,1314.4,1998-09-01,293.9,7909.793387000001
80,11.32,0.03,10-1998,0,4.5,-0.1,1.5,0.0,12.22,17.10%,200.7554757,112.1556683,1407.5,1998-10-01,292.3,8164.471812999999
81,9.64,-1.68,11-1998,0,4.4,-0.1,1.5,0.0,12.26,4.00%,209.89638399999998,115.61132260000001,1176.4,1998-11-01,294.7,9005.751563
82,8.03,-1.61,12-1998,0,4.4,0.0,1.6,0.1,12.31,5.00%,204.912522,111.8045875,1375.0,1998-12-01,287.8,9018.679954000001
83,8.57,0.54,01-1999,0,4.3,-0.1,1.7,0.1,12.29,-1.90%,195.0366663,111.8932135,1123.7,1999-01-01,285.4,9345.857319
84,8.6,0.03,02-1999,0,4.4,0.1,1.6,-0.1,12.32,3.00%,179.6716722,104.278526,1325.7,1999-02-01,287.1,9322.944182
85,10.76,2.16,03-1999,0,4.2,-0.2,1.7,0.1,12.41,9.10%,175.0552838,104.5756704,1580.2,1999-03-01,279.5,9753.633915999999
86,12.82,2.06,04-1999,0,4.3,0.1,2.3,0.6,12.48,7.00%,177.5357313,102.33111170000001,1451.7,1999-04-01,286.6,10443.499440000001
