Date,Wheat Value,Soybean Value
1/3/2000,2.475,4.645
1/4/2000,2.4725,4.715
1/5/2000,2.4975,4.77
1/6/2000,2.485,4.755
1/7/2000,2.5175,4.7875
1/10/2000,2.535,4.735
1/11/2000,2.5375,4.745
1/12/2000,2.5875,4.8025
1/13/2000,2.635,4.89
1/14/2000,2.65,4.9625
1/18/2000,2.645,5.0225
1/19/2000,2.66,5.01
1/20/2000,2.65,5.055
1/21/2000,2.6425,5.0525
1/24/2000,2.66,5.12
1/25/2000,2.6475,5.17
1/26/2000,2.6,5.1325
1/27/2000,2.635,5.27
1/28/2000,2.5975,5.235
1/31/2000,2.5625,5.08
2/1/2000,2.58,5.1
2/2/2000,2.5725,5.075
2/3/2000,2.5375,5.01
2/4/2000,2.57,5.055
2/7/2000,2.5875,5.065
2/8/2000,2.5925,5.0025
2/9/2000,2.655,5.0375
2/10/2000,2.7175,5.13
2/11/2000,2.695,5.0525
2/14/2000,2.6875,5.05
2/15/2000,2.66,5.0875
2/16/2000,2.6525,5.075
2/17/2000,2.625,5.08
2/18/2000,2.6475,5.145
2/22/2000,2.6225,5.13
2/23/2000,2.5475,4.9975
2/24/2000,2.5725,5.0635
2/25/2000,2.525,5.004
2/28/2000,2.5185,5.0285
2/29/2000,2.566,5.0905
3/1/2000,2.5975,5.0625
3/2/2000,2.5825,5.105
3/3/2000,2.5825,5.13
3/6/2000,2.605,5.1725
3/7/2000,2.5975,5.115
3/8/2000,2.6175,5.155
3/9/2000,2.6325,5.165
3/10/2000,2.6,5.0975
3/13/2000,2.635,5.23
3/14/2000,2.71,5.3
3/15/2000,2.6875,5.25
3/16/2000,2.6625,5.255
3/17/2000,2.7225,5.375
3/20/2000,2.6625,5.2575
3/21/2000,2.6025,5.2675
3/22/2000,2.6175,5.31
3/23/2000,2.5625,5.22
3/24/2000,2.5275,5.3075
3/27/2000,2.545,5.315
3/28/2000,2.4975,5.265
3/29/2000,2.5125,5.29
3/30/2000,2.555,5.375
3/31/2000,2.6225,5.455
4/3/2000,2.5775,5.465
4/4/2000,2.5575,5.385
4/5/2000,2.5625,5.43
4/6/2000,2.5375,5.31
4/7/2000,2.585,5.3875
4/10/2000,2.5275,5.32
4/11/2000,2.5275,5.28
4/12/2000,2.555,5.375
4/13/2000,2.5775,5.3825
4/14/2000,2.5575,5.325
4/17/2000,2.5325,5.315
4/18/2000,2.5225,5.34
4/19/2000,2.53,5.375
4/20/2000,2.51,5.3625
4/24/2000,2.5075,5.44
4/25/2000,2.548,5.457
4/26/2000,2.535,5.4545
4/27/2000,2.488,5.4
