Year,Month,Average of Wheat Value,Average of Soybean Value
2000,1,2.584625,4.94775
2000,2,2.6066,5.06395
2000,3,2.605978261,5.238043478
2000,4,2.540052632,5.377421053
2000,5,2.75875,5.518068182
2000,6,2.698681818,5.090022727
2000,7,2.497125,4.6105
2000,8,2.417913043,4.586152174
2000,9,2.583375,4.955875
2000,10,2.643977273,4.734068182
2000,11,2.593880952,4.86702381
2000,12,2.729625,5.0708
2001,1,2.821309524,4.805119048
2001,2,2.659210526,4.557026316
2001,3,2.731136364,4.490681818
2001,4,2.661,4.3196
2001,5,2.694772727,4.426590909
2001,6,2.584071429,4.62547619
2001,7,2.783571429,5.060666667
2001,8,2.71326087,4.967043478
2001,9,2.743676471,4.709264706
2001,10,2.803043478,4.378521739
2001,11,2.840761905,4.44
2001,12,2.865,4.359052632
2002,1,2.988571429,4.355714286
2002,2,2.798921053,4.363894737
2002,3,2.8085,4.628125
2002,4,2.714636364,4.666318182
2002,5,2.739886364,4.820454545
2002,6,2.89525,5.037775
2002,7,3.27875,5.584159091
2002,8,3.479840909,5.606931818
2002,9,4.007125,5.645625
2002,10,3.936195652,5.446434783
2002,11,3.86295,5.699375
2002,12,3.507375,5.6629
2003,1,3.195119048,5.651190476
2003,2,3.256052632,5.703815789
2003,3,2.970119048,5.716309524
2003,4,2.860571429,6.037285714
2003,5,3.179047619,6.342261905
2003,6,3.161238095,6.24752381
2003,7,3.276818182,5.767
2003,8,3.636857143,5.56302381
2003,9,3.563214286,6.235357143
2003,10,3.485,7.324369565
2003,11,3.856342105,7.638289474
2003,12,3.901363636,7.712931818
2004,1,3.902875,8.211875
2004,2,3.822947368,8.610473684
2004,3,3.887934783,9.822065217
2004,4,3.948880952,9.876880952
2004,5,3.803625,9.350625
2004,6,3.551119048,8.637595238
2004,7,3.321904762,7.26497619
2004,8,3.1095,5.924818182
2004,9,3.256309524,5.629047619
2004,10,3.112857143,5.269595238
2004,11,3.045666667,5.328571429
2004,12,3.025952381,5.402761905
2005,1,2.99325,5.26425
2005,2,3.014342105,5.384105263
2005,3,3.442386364,6.375113636
2005,4,3.140690476,6.232571429
2005,5,3.192142857,6.381785714
2005,6,3.261295455,6.936931818
2005,7,3.365875,6.9082
2005,8,3.2025,6.294826087
2005,9,3.266190476,5.814285714
2005,10,3.344404762,5.758404762
2005,11,3.080952381,5.788214286
2005,12,3.243928571,5.904166667
2006,1,3.349125,5.872125
2006,2,3.599105263,5.848236842
2006,3,3.610108696,5.8425
2006,4,3.531973684,5.700447368
2006,5,3.962954545,5.972386364
2006,6,3.763909091,5.898295455
2006,7,3.99325,5.93855
2006,8,3.830869565,5.581304348
2006,9,4.14625,5.478625
2006,10,5.002613636,5.942386364
2006,11,4.894761905,6.701190476
2006,12,4.999375,6.636325
2007,1,4.67797619,7.014880952
2007,2,4.661078947,7.582763158
2007,3,4.651136364,7.6025
2007,4,4.72345,7.3743
2007,5,4.911363636,7.767272727
2007,6,5.749666667,8.248071429
2007,7,6.179285714,8.56247619
2007,8,6.929086957,8.448695652
2007,9,8.673026316,9.526578947
2007,10,8.537391304,9.76873913
2007,11,7.948095238,10.65440476
2007,12,9.269125,11.530725
2008,1,9.238928571,12.61916667
2008,2,10.5895,13.846375
2008,3,11.0555,13.446375
2008,4,8.8235,13.19377273
2008,5,7.853214286,13.43095238
2008,6,8.496452381,15.28864286
2008,7,8.175909091,14.76009091
2008,8,8.208595238,12.74578571
2008,9,7.279880952,11.51642857
2008,10,5.699130435,9.157978261
2008,11,5.353789474,8.889736842
2008,12,5.426022727,8.815477273
2009,1,5.888875,9.906
2009,2,5.356710526,9.177815789
2009,3,5.259886364,9.137045455
2009,4,5.275214286,10.30747619
2009,5,5.913,11.52675
2009,6,5.830613636,11.97868182
2009,7,5.262159091,10.37727273
2009,8,4.890928571,10.42316667
2009,9,4.633690476,9.256904762
2009,10,4.965795455,9.75175
2009,11,5.416475,10.158
2009,12,5.420454545,10.34231818
2010,1,5.221184211,9.664736842
2010,2,4.902,9.437105263
2010,3,4.845,9.506304348
2010,4,4.777857143,9.788380952
2010,5,4.817125,9.48475
2010,6,4.507863636,9.477977273
2010,7,5.706666667,10.01964286
2010,8,6.901113636,10.21520455
2010,9,7.184047619,10.69440476
2010,10,6.865714286,11.8067381
2010,11,6.788214286,12.60809524
2010,12,7.757159091,13.25922727
2011,1,8.040625,14.017875
2011,2,8.359789474,13.88626316
2011,3,7.453369565,13.60836957
2011,4,7.8116,13.640675
2011,5,7.816071429,13.59059524
2011,6,6.9855,13.52359091
2011,7,6.74525,13.658675
2011,8,7.21026087,13.70091304
2011,9,6.919761905,13.14345238
2011,10,6.266071429,12.17971429
2011,11,6.142714286,11.64630952
2011,12,6.123095238,11.53307143
2012,1,6.305,12.03725
2012,2,6.4911,12.680425
2012,3,6.500340909,13.60659091
2012,4,6.31655,14.48395
2012,5,6.390227273,14.05079545
2012,6,6.577095238,14.35540476
2012,7,8.674642857,16.43038095
2012,8,8.786434783,16.91082609
2012,9,8.867631579,16.5325
2012,10,8.666630435,15.39132609
2012,11,8.631285714,14.40035714
2012,12,8.154875,14.482325
2013,1,7.682619048,14.27761905
2013,2,7.357815789,14.5475
2013,3,7.1395,14.39375
2013,4,6.99725,14.01809091
2013,5,7.025909091,14.52306818
2013,6,6.887825,15.02965
2013,7,6.630909091,14.06131818
2013,8,6.424977273,13.09004545
2013,9,6.533875,13.339375
2013,10,6.889456522,12.84413043
2013,11,6.51775,12.998375
2013,12,6.286785714,13.23404762
2014,1,5.764545455,12.89511364
2014,2,6.003175,13.7245
2014,3,6.792738095,14.31952381
2014,4,6.835333333,14.86159524
2014,5,6.863928571,14.84369048
2014,6,5.929071429,13.97409524
2014,7,5.421363636,11.74652273
2014,8,5.477857143,10.84166667
2014,9,5.023095238,9.533214286
2014,10,5.112173913,9.820130435
2014,11,5.420184211,10.28552632
2014,12,6.098863636,10.37768182
2015,1,5.43425,9.8915
2015,2,5.170421053,9.982736842
2015,3,5.068863636,9.770795455
2015,4,5.023261905,9.704690476
2015,5,4.922125,9.4555
2015,6,5.191636364,9.806795455
2015,7,5.469886364,9.947159091
2015,8,4.992571429,9.106142857
2015,9,4.898928571,8.783690476
2015,10,5.069886364,8.904068182
2015,11,4.967,8.7045
2015,12,4.797159091,8.729340909
2016,1,4.731973684,8.77
2016,2,4.60985,8.691775
2016,3,4.664772727,9.014431818
2016,4,4.71902381,9.864119048
2016,5,4.699285714,10.80190476
2016,6,4.765386364,11.42154545
2016,7,4.25025,10.315425
2016,8,4.094717391,9.96576087
2016,9,4.025238095,9.615714286
2016,10,4.087738095,9.81502381
2016,11,4.055214286,10.16059524
2016,12,4.063571429,10.15964286
2017,1,4.24125,10.42675
2017,2,4.394210526,10.39115789
2017,3,4.357391304,9.834782609
2017,4,4.218052632,9.545578947
2017,5,4.347613636,9.478636364
2017,6,4.550977273,9.368363636
2017,7,5.1225,9.9225
2017,8,4.311108696,9.432565217
2017,9,4.462625,9.6515
2017,10,4.348181818,9.821068182
2017,11,4.242071429,9.899047619
2017,12,4.235,9.66495
2018,1,4.324880952,9.776547619
2018,2,4.569263158,10.31052632
2018,3,4.763333333,10.35571429
2018,4,4.751904762,10.41859524
2018,5,5.170227273,10.16568182
2018,6,5.013547619,8.971380952
2018,7,5.085833333,8.592428571
2018,8,5.406282609,8.56826087
2018,9,5.164605263,8.435526316
2018,10,5.112173913,8.648869565
2018,11,5.059904762,8.876547619
2018,12,5.2135,9.019575
2019,1,5.167857143,9.141666667
2019,2,5.001684211,9.099
2019,3,4.565714286,8.996785714
2019,4,4.513880952,8.726142857
2019,5,4.616590909,8.426590909
2019,6,5.248825,8.912325
2019,7,5.036136364,8.824522727
2019,8,4.759818182,8.618409091
2019,9,4.794875,8.93175
2019,10,5.08,9.295608696
2019,11,5.157025,9.007875
2019,12,5.384285714,9.262071429
2020,1,5.65047619,9.093571429
2020,2,5.488710526,8.914684211
2020,3,5.332159091,8.640795455
2020,4,5.410357143,8.407190476
2020,5,5.169166667,8.4825
2020,6,,
