Year,Month,Gas Monthly Avg
2000,1,1.2788
2000,2,1.3705
2000,3,1.49825
2000,4,1.4365
2000,5,1.4564
2000,6,1.61175
2000,7,1.5288
2000,8,1.43925
2000,9,1.52525
2000,10,1.5084
2000,11,1.49475
2000,12,1.41825
2001,1,1.4274
2001,2,1.43125
2001,3,1.384
2001,4,1.5172
2001,5,1.65375
2001,6,1.5475
2001,7,1.3402
2001,8,1.38625
2001,9,1.50625
2001,10,1.2738
2001,11,1.1385
2001,12,1.072
2002,1,1.094
2002,2,1.08975
2002,3,1.2205
2002,4,1.3618
2002,5,1.35325
2002,6,1.3405
2002,7,1.364
2002,8,1.358
2002,9,1.3634
2002,10,1.427
2002,11,1.38475
2002,12,1.3484
2003,1,1.4235
2003,2,1.582
2003,3,1.636
2003,4,1.517
2003,5,1.43775
2003,6,1.4516
2003,7,1.48025
2003,8,1.58825
2003,9,1.6162
2003,10,1.513
2003,11,1.47375
2003,12,1.4482
2004,1,1.55475
2004,2,1.6145
2004,3,1.6886
2004,4,1.756
2004,5,1.9448
2004,6,1.91025
2004,7,1.86325
2004,8,1.8416
2004,9,1.8405
2004,10,1.95375
2004,11,1.9318
2004,12,1.7995
2005,1,1.8106
2005,2,1.88625
2005,3,2.0625
2005,4,2.2105
2005,5,2.1144
2005,6,2.12275
2005,7,2.247
2005,8,2.449
2005,9,2.8615
2005,10,2.689
2005,11,2.2215
2005,12,2.17375
2006,1,2.3
2006,2,2.24925
2006,3,2.4125
2006,4,2.71875
2006,5,2.8312
2006,6,2.80825
2006,7,2.9232
2006,8,2.90975
2006,9,2.501
2006,10,2.214
2006,11,2.211
2006,12,2.28425
2007,1,2.1906
2007,2,2.2345
2007,3,2.5025
2007,4,2.7874
2007,5,3.11925
2007,6,3.02425
2007,7,2.9474
2007,8,2.77675
2007,9,2.8165
2007,10,2.7912
2007,11,3.06425
2007,12,2.9838
2008,1,3.01825
2008,2,3.01575
2008,3,3.2154
2008,4,3.4205
2008,5,3.735
2008,6,3.9894
2008,7,4.0015
2008,8,3.7395
2008,9,3.7094
2008,10,3.0095
2008,11,2.0985
2008,12,1.6688
2009,1,1.77225
2009,2,1.89175
2009,3,1.9374
2009,4,2.02075
2009,5,2.2395
2009,6,2.5968
2009,7,2.47825
2009,8,2.5624
2009,9,2.48
2009,10,2.50025
2009,11,2.6138
2009,12,2.56775
2010,1,2.67825
2010,2,2.60325
2010,3,2.7418
2010,4,2.8175
2010,5,2.7954
2010,6,2.6835
2010,7,2.67925
2010,8,2.6832
2010,9,2.67825
2010,10,2.76625
2010,11,2.8148
2010,12,2.95075
2011,1,3.0578
2011,2,3.16775
2011,3,3.50875
2011,4,3.7455
2011,5,3.8494
2011,6,3.628
2011,7,3.61425
2011,8,3.6118
2011,9,3.57325
2011,10,3.4
2011,11,3.3295
2011,12,3.22
2012,1,3.3296
2012,2,3.5165
2012,3,3.7735
2012,4,3.8374
2012,5,3.64325
2012,6,3.4645
2012,7,3.3794
2012,8,3.668
2012,9,3.80075
2012,10,3.6534
2012,11,3.38
2012,12,3.2564
2013,1,3.25475
2013,2,3.605
2013,3,3.64775
2013,4,3.5014
2013,5,3.5645
2013,6,3.576
2013,7,3.515
2013,8,3.51475
2013,9,3.4738
2013,10,3.28475
2013,11,3.186
2013,12,3.2088
2014,1,3.25225
2014,2,3.305
2014,3,3.474
2014,4,3.59025
2014,5,3.60075
2014,6,3.6258
2014,7,3.539
2014,8,3.42525
2014,9,3.3536
2014,10,3.11975
2014,11,2.875
2014,12,2.4882
2015,1,2.04575
2015,2,2.152
2015,3,2.3522
2015,4,2.369
2015,5,2.5775
2015,6,2.7002
2015,7,2.6655
2015,8,2.5216
2015,9,2.275
2015,10,2.23025
2015,11,2.0882
2015,12,1.946
2016,1,1.843
2016,2,1.6812
2016,3,1.89525
2016,4,2.027
2016,5,2.1994
2016,6,2.30275
2016,7,2.15725
2016,8,2.1194
2016,9,2.161
2016,10,2.1864
2016,11,2.10475
2016,12,2.192
2017,1,2.2854
2017,2,2.2265
2017,3,2.243
2017,4,2.34
2017,5,2.3032
2017,6,2.2565
2017,7,2.2108
2017,8,2.2965
2017,9,2.57025
2017,10,2.4296
2017,11,2.474
2017,12,2.38825
2018,1,2.4672
2018,2,2.488
2018,3,2.488
2018,4,2.652
2018,5,2.8075
2018,6,2.8015
2018,7,2.7704
2018,8,2.76775
2018,9,2.7685
2018,10,2.7852
2018,11,2.561
2018,12,2.263
2019,1,2.145
2019,2,2.2225
2019,3,2.443
2019,4,2.694
2019,5,2.73125
2019,6,2.60125
2019,7,2.6404
2019,8,2.521
2019,9,2.4888
2019,10,2.49725
2019,11,2.48
2019,12,2.4692
2020,1,2.459
2020,2,2.348
2020,3,2.1256
2020,4,1.721
2020,5,1.715
