Crude Oil Price,Price Year-Month,Accident Year,Accident Year-Month,Accident Date,Operator Name,Pipeline/Facility Name,Pipeline Location,Pipeline Type,Liquid Type,Liquid Subtype,Liquid Name,Accident City,Accident County,Accident State,Accident Latitude,Accident Longitude,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Intentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,Shutdown Date/Time,Restart Date/Time,Public Evacuations,Property Damage Costs,Lost Commodity Costs,Public/Private Property Damage Costs,Emergency Response Costs,Environmental Remediation Costs,Other Costs,All Costs
72.87,2010-01,2010,2010-01,2010-01-01,ONEOK NGL PIPELINE LP,KINDER MORGAN JCT,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),Not Available,MCPHERSON,MCPHERSON,KS,38.6707,-97.78123000000001,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,21.0,0.1,0.0,21.0,NO,NO,NO,Not Available,Not Available,0.0,110.0,1517.0,0.0,0.0,0.0,0.0,1627.0
72.87,2010-01,2010,2010-01,2010-01-04,PORTLAND PIPELINE CORP,24-INCH MAIN LINE,ONSHORE,ABOVEGROUND,CRUDE OIL,Not Available,Not Available,RAYMOND,CUMBERLAND,ME,43.94028,-70.49336,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.12,0.0,0.12,0.0,NO,NO,Not Available,Not Available,Not Available,0.0,4000.0,8.0,0.0,0.0,0.0,0.0,4008.0
72.87,2010-01,2010,2010-01,2010-01-05,"PETROLOGISTICS OLEFINS, LLC",Not Available,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,ETHANE,SULPHER,CALCASIEU,LA,30.1824,-93.3524,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,2.0,0.0,0.0,2.0,NO,NO,Not Available,Not Available,Not Available,0.0,0.0,200.0,0.0,0.0,0.0,0.0,200.0
72.87,2010-01,2010,2010-01,2010-01-06,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",SUPERIOR TERMINAL,ONSHORE,UNDERGROUND,CRUDE OIL,Not Available,Not Available,SUPERIOR,DOUGLAS,WI,46.6893,-92.0612,NATURAL FORCE DAMAGE,TEMPERATURE,0.48,0.0,0.48,0.0,NO,NO,Not Available,Not Available,Not Available,0.0,200.0,40.0,0.0,11300.0,0.0,0.0,11540.0
72.87,2010-01,2010,2010-01,2010-01-07,"PLAINS PIPELINE, L.P.",RED RIVER EAST,ONSHORE,UNDERGROUND,CRUDE OIL,Not Available,Not Available,SHERMAN,GRAYSON,TX,33.58266,-96.64881,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,700.0,0.0,698.0,2.0,NO,NO,NO,Not Available,Not Available,0.0,20000.0,150.0,0.0,7500.0,2000.0,0.0,29650.0
72.87,2010-01,2010,2010-01,2010-01-08,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",Not Available,ONSHORE,UNDERGROUND,CRUDE OIL,Not Available,Not Available,NECHE,PEMBINA,ND,48.99555,-97.52554,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,3784.0,0.0,1547.0,2237.0,NO,NO,YES,1/8/2010 23:41,1/13/2010 9:17,0.0,76940.0,167775.0,150000.0,1800000.0,2000000.0,0.0,4194715.0
72.87,2010-01,2010,2010-01,2010-01-09,"KINDER MORGAN LIQUID TERMINALS, LLC",Not Available,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),Not Available,GALENA PARK,HARRIS,TX,29.4305,-95.1201,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,35.0,0.0,30.0,5.0,NO,NO,NO,Not Available,Not Available,0.0,0.0,400.0,0.0,0.0,70000.0,0.0,70400.0
72.87,2010-01,2010,2010-01,2010-01-09,MOBIL CORP,HULL STATION,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),Not Available,HULL,LIBERTY,TX,30.08533,-94.3805,NATURAL FORCE DAMAGE,TEMPERATURE,0.24,0.0,0.0,0.24,NO,NO,Not Available,Not Available,Not Available,0.0,400.0,13.0,0.0,0.0,0.0,0.0,413.0
72.87,2010-01,2010,2010-01,2010-01-10,"KINDER MORGAN LIQUID TERMINALS, LLC",Not Available,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",Not Available,Not Available,Not Available,TX,29.4305,-95.1201,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.4,0.0,0.4,0.0,NO,NO,Not Available,Not Available,Not Available,0.0,0.0,336.0,0.0,0.0,40000.0,0.0,40336.0
72.87,2010-01,2010,2010-01,2010-01-11,CONOCOPHILLIPS,TANK 1501,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),Not Available,PASADENA,HARRIS,TX,29.714779999999998,-95.17611,ALL OTHER CAUSES,MISCELLANEOUS,0.48,0.0,0.48,0.0,NO,NO,NO,Not Available,Not Available,0.0,0.0,50.0,0.0,10000.0,10000.0,10000.0,30050.0
72.87,2010-01,2010,2010-01,2010-01-11,TARGA RESOURCES OPERATING LP,N-4 LINE (NORMAL BUTANE),ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,NORMAL BUTANE,LAKE CHARLES,CALCASIEU,LA,30.259890000000002,-93.20991,NATURAL FORCE DAMAGE,TEMPERATURE,2237.0,25.0,0.0,2237.0,NO,NO,YES,1/11/2010 14:45,1/15/2010 15:00,0.0,29360.0,136233.0,0.0,0.0,0.0,0.0,165593.0
