Accident Year-Month,Crude Oil Price,Number of Accidents
2010-01,72.87,34
2010-02,72.74,16
2010-03,75.77,32
2010-04,78.8,32
2010-05,70.91,30
2010-06,70.77,29
2010-07,71.37,29
2010-08,72.07,27
2010-09,71.23,29
2010-10,76.02,10
2010-11,79.2,41
2010-12,83.98,41
2011-01,85.66,29
2011-02,86.69,42
2011-03,99.19,25
2011-04,108.8,23
2011-05,102.46,24
2011-06,97.3,27
2011-07,97.82,31
2011-08,89.0,36
2011-09,90.22,26
2011-10,92.28,29
2011-11,100.18,22
2011-12,98.71,31
2012-01,98.99,28
2012-02,102.04,32
2012-03,105.42,34
2012-04,103.62,38
2012-05,95.57,28
2012-06,83.59,27
2012-07,86.1,27
2012-08,92.53,30
2012-09,95.98,33
2012-10,92.24,23
2012-11,89.64,34
2012-12,89.81,32
2013-01,95.0,47
2013-02,95.01,43
2013-03,95.54,26
2013-04,94.41,39
2013-05,94.75,47
2013-06,93.82,29
2013-07,101.41,34
2013-08,102.96,36
2013-09,102.32,24
2013-10,96.18,25
2013-11,88.7,26
2013-12,91.85,25
2014-01,89.57,47
2014-02,96.86,44
2014-03,96.17,52
2014-04,96.49,46
2014-05,95.74,39
2014-06,98.68,24
2014-07,96.7,33
2014-08,90.72,36
2014-09,86.87,38
2014-10,78.84,30
2014-11,71.07,32
2014-12,54.86,33
2015-01,43.06,45
2015-02,44.35,32
2015-03,42.66,48
2015-04,49.3,41
2015-05,54.38,37
2015-06,55.88,36
2015-07,47.7,40
2015-08,39.98,38
2015-09,41.6,41
2015-10,42.34,46
2015-11,38.19,39
2015-12,32.26,19
2016-01,27.02,43
2016-02,25.52,40
2016-03,31.87,29
2016-04,35.59,27
2016-05,41.02,38
2016-06,43.96,34
2016-07,40.71,31
2016-08,40.46,47
2016-09,40.55,31
2016-10,45.0,33
2016-11,41.65,29
2016-12,47.12,33
2017-01,48.19,2
