Crude Oil Price,Vehicle Type,Year-Month,Total Auto Sales
89.57,Passenger Cars,2014-01,491724
89.57,Light Trucks,2014-01,520858
96.86,Passenger Cars,2014-02,581991
96.86,Light Trucks,2014-02,611881
96.17,Passenger Cars,2014-03,763170
96.17,Light Trucks,2014-03,774118
96.49,Passenger Cars,2014-04,676274
96.49,Light Trucks,2014-04,714239
95.74,Passenger Cars,2014-05,794084
95.74,Light Trucks,2014-05,814609
98.68,Passenger Cars,2014-06,702621
98.68,Light Trucks,2014-06,718373
96.7,Passenger Cars,2014-07,689345
96.7,Light Trucks,2014-07,745997
90.72,Passenger Cars,2014-08,767190
90.72,Light Trucks,2014-08,818825
86.87,Passenger Cars,2014-09,580260
86.87,Light Trucks,2014-09,665746
78.84,Passenger Cars,2014-10,596231
78.84,Light Trucks,2014-10,685082
71.07,Passenger Cars,2014-11,597557
71.07,Light Trucks,2014-11,704486
54.86,Passenger Cars,2014-12,678154
54.86,Light Trucks,2014-12,829185
43.06,Passenger Cars,2015-01,592696
43.06,Light Trucks,2015-01,621427
44.35,Passenger Cars,2015-02,573633
44.35,Light Trucks,2015-02,683986
42.66,Passenger Cars,2015-03,730723
42.66,Light Trucks,2015-03,815079
49.3,Passenger Cars,2015-04,665924
49.3,Light Trucks,2015-04,789027
54.38,Passenger Cars,2015-05,764697
54.38,Light Trucks,2015-05,870393
55.88,Passenger Cars,2015-06,676627
55.88,Light Trucks,2015-06,800048
47.7,Passenger Cars,2015-07,669195
47.7,Light Trucks,2015-07,842066
39.98,Passenger Cars,2015-08,687998
39.98,Light Trucks,2015-08,889409
41.6,Passenger Cars,2015-09,619109
41.6,Light Trucks,2015-09,823351
42.34,Passenger Cars,2015-10,620733
42.34,Light Trucks,2015-10,834783
38.19,Passenger Cars,2015-11,546313
38.19,Light Trucks,2015-11,772986
32.26,Passenger Cars,2015-12,656261
32.26,Light Trucks,2015-12,987028
27.02,Passenger Cars,2016-01,487235
27.02,Light Trucks,2016-01,677137
25.52,Passenger Cars,2016-02,571224
25.52,Light Trucks,2016-02,777441
31.87,Passenger Cars,2016-03,684695
31.87,Light Trucks,2016-03,897069
