National Highway Traffic Safety Administration (NHTSA) Motor Vehicle Crash Data Querying and Reporting,,,,,,,,,,,,,
,,,,,,,,,,,,,
Motor Vehicle Crashes,,,,,,,,,,,,,
,,,,,,,,,,,,,
State: Pennsylvania and City: Pittsburgh,,,,,,,,,,,,,
,,,,,,,,,,,,,
Years: 2004-2018,,,,,,,,,,,,,
,,,,,,,,,,,,,
Crash Date (Year),Crash Date (Month),,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Total
2004,3,3,2,2,2,2,3,0,1,3,1,1,23
2005,1,3,1,2,3,2,2,1,3,3,4,1,26
2006,1,1,1,3,3,3,1,2,2,2,2,3,24
2007,3,2,2,1,1,2,2,1,4,3,0,1,22
2008,0,1,1,1,2,4,0,1,1,1,1,2,15
2009,1,1,0,0,4,3,0,3,2,2,0,1,17
2010,0,3,1,2,3,1,1,1,4,1,5,1,23
2011,0,0,0,0,0,1,0,3,2,3,1,0,10
2012,1,1,2,1,0,0,3,0,0,3,1,2,14
2013,2,4,0,1,1,2,1,1,1,1,2,5,21
2014,0,3,1,0,1,0,1,1,2,0,1,2,12
2015,1,1,2,0,1,1,2,1,1,2,3,2,17
2016,2,1,2,1,3,2,3,4,1,0,1,0,20
2017,0,1,2,1,0,1,3,1,1,1,2,2,15
2018,0,1,2,2,1,2,1,0,2,1,2,0,14
Total,15,26,19,17,25,26,23,20,27,26,26,23,273
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data Sources:,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fatality Analysis Reporting System (FARS): 2004-2017 Final File and 2018 Annual Report File (ARF),,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
Report Generated: Saturday, May 16, 2020 (2:26:56 AM),,,,,,,,,,,
,,,,,,,,,,,,,
VERSION 2.1, RELEASED MAY 7,2020,,,,,,,,,,,
