Vehicle Type,Year-Month of Sale,Total Auto Sales
Passenger Cars,2019-01,361908
Light Trucks,2019-01,771003
Passenger Cars,2018-01,379967
Light Trucks,2018-01,774918
Passenger Cars,2019-02,386806
Light Trucks,2019-02,878288
Passenger Cars,2018-02,438928
Light Trucks,2018-02,863203
Passenger Cars,2019-03,505811
Light Trucks,2019-03,1102851
Passenger Cars,2018-03,555625
Light Trucks,2018-03,1097909
Passenger Cars,2019-04,409134
Light Trucks,2019-04,922537
Passenger Cars,2018-04,440378
Light Trucks,2018-04,913859
Passenger Cars,2019-05,474138
Light Trucks,2019-05,1116079
Passenger Cars,2018-05,529337
Light Trucks,2018-05,1063329
Passenger Cars,2019-06,456040
Light Trucks,2019-06,1053923
Passenger Cars,2018-06,503976
Light Trucks,2018-06,1049340
Passenger Cars,2019-07,398546
Light Trucks,2019-07,997270
Passenger Cars,2018-07,439116
Light Trucks,2018-07,936689
Passenger Cars,2019-08,453250
Light Trucks,2019-08,1196419
Passenger Cars,2018-08,459203
Light Trucks,2018-08,1027965
Passenger Cars,2019-09,353987
Light Trucks,2019-09,918739
Passenger Cars,2018-09,440684
Light Trucks,2018-09,991418
Passenger Cars,2019-10,355266
Light Trucks,2019-10,988576
Passenger Cars,2018-10,425079
Light Trucks,2018-10,928767
Passenger Cars,2019-11,377408
Light Trucks,2019-11,1036106
Passenger Cars,2018-11,413499
Light Trucks,2018-11,973580
Passenger Cars,2019-12,394178
Light Trucks,2019-12,1139377
Passenger Cars,2018-12,450250
Light Trucks,2018-12,1177231
Passenger Cars,2017-01,427596
Light Trucks,2017-01,715953
Passenger Cars,2016-01,487235
Light Trucks,2016-01,677137
Passenger Cars,2017-02,502300
Light Trucks,2017-02,831337
Passenger Cars,2016-02,571224
Light Trucks,2016-02,777441
Passenger Cars,2017-03,611999
Light Trucks,2017-03,943860
Passenger Cars,2016-03,684695
Light Trucks,2016-03,897069
Passenger Cars,2017-04,557312
Light Trucks,2017-04,868814
Passenger Cars,2016-04,627097
Light Trucks,2016-04,869255
Passenger Cars,2017-05,584005
Light Trucks,2017-05,935170
Passenger Cars,2016-05,644124
Light Trucks,2016-05,882420
Passenger Cars,2017-06,540982
Light Trucks,2017-06,933378
Passenger Cars,2016-06,623041
Light Trucks,2016-06,896208
Passenger Cars,2017-07,525020
Light Trucks,2017-07,890119
Passenger Cars,2016-07,609228
Light Trucks,2016-07,912615
Passenger Cars,2017-08,549749
Light Trucks,2017-08,933581
Passenger Cars,2016-08,601003
Light Trucks,2016-08,911602
Passenger Cars,2017-09,556320
Light Trucks,2017-09,967547
Passenger Cars,2016-09,575118
Light Trucks,2016-09,860575
Passenger Cars,2017-10,478735
Light Trucks,2017-10,876140
Passenger Cars,2016-10,526462
Light Trucks,2016-10,845858
Passenger Cars,2017-11,487311
Light Trucks,2017-11,905699
Passenger Cars,2016-11,531108
Light Trucks,2016-11,849450
Passenger Cars,2017-12,518325
Light Trucks,2017-12,1084804
Passenger Cars,2016-12,624258
Light Trucks,2016-12,1066171
Passenger Cars,2015-01,592696
Light Trucks,2015-01,621427
Passenger Cars,2014-01,491724
Light Trucks,2014-01,520858
Passenger Cars,2015-02,573633
Light Trucks,2015-02,683986
Passenger Cars,2014-02,581991
Light Trucks,2014-02,611881
Passenger Cars,2015-03,730723
Light Trucks,2015-03,815079
Passenger Cars,2014-03,763170
Light Trucks,2014-03,774118
Passenger Cars,2015-04,665924
Light Trucks,2015-04,789027
Passenger Cars,2014-04,676274
Light Trucks,2014-04,714239
Passenger Cars,2015-05,764697
Light Trucks,2015-05,870393
Passenger Cars,2014-05,794084
Light Trucks,2014-05,814609
Passenger Cars,2015-06,676627
Light Trucks,2015-06,800048
Passenger Cars,2014-06,702621
Light Trucks,2014-06,718373
Passenger Cars,2015-07,669195
Light Trucks,2015-07,842066
Passenger Cars,2014-07,689345
Light Trucks,2014-07,745997
Passenger Cars,2015-08,687998
Light Trucks,2015-08,889409
Passenger Cars,2014-08,767190
Light Trucks,2014-08,818825
Passenger Cars,2015-09,619109
Light Trucks,2015-09,823351
Passenger Cars,2014-09,580260
Light Trucks,2014-09,665746
Passenger Cars,2015-10,620733
Light Trucks,2015-10,834783
Passenger Cars,2014-10,596231
Light Trucks,2014-10,685082
Passenger Cars,2015-11,546313
Light Trucks,2015-11,772986
Passenger Cars,2014-11,597557
Light Trucks,2014-11,704486
Passenger Cars,2015-12,656261
Light Trucks,2015-12,987028
Passenger Cars,2014-12,678154
Light Trucks,2014-12,829185
