Name,US dollar
12/31/1978,226.00
1/31/1979,233.70
2/28/1979,251.30
3/30/1979,240.10
4/30/1979,245.30
5/31/1979,274.60
6/29/1979,277.50
7/31/1979,296.50
8/31/1979,315.10
9/28/1979,397.30
10/31/1979,382.00
11/30/1979,415.70
12/31/1979,512.00
1/31/1980,653.00
2/29/1980,637.00
3/31/1980,494.50
4/30/1980,518.00
5/30/1980,535.50
6/30/1980,653.50
7/31/1980,614.30
8/29/1980,631.30
9/30/1980,666.80
10/31/1980,629.00
11/28/1980,619.80
12/31/1980,589.80
1/30/1981,506.50
2/27/1981,489.00
3/31/1981,513.80
4/30/1981,482.80
5/29/1981,479.30
6/30/1981,426.00
7/31/1981,406.00
8/31/1981,425.00
9/30/1981,428.80
10/30/1981,427.00
11/30/1981,414.50
12/31/1981,397.50
1/29/1982,387.00
2/26/1982,362.60
3/31/1982,320.00
4/30/1982,361.30
5/31/1982,325.30
6/30/1982,317.50
7/30/1982,342.90
8/31/1982,411.50
9/30/1982,397.00
10/29/1982,423.30
11/30/1982,436.00
12/31/1982,456.90
1/31/1983,499.50
2/28/1983,408.50
3/31/1983,414.80
4/29/1983,429.30
5/31/1983,437.50
6/30/1983,416.00
7/29/1983,422.00
8/31/1983,414.30
9/30/1983,405.00
10/31/1983,382.00
11/30/1983,405.00
12/30/1983,382.40
1/31/1984,373.80
2/29/1984,394.30
3/30/1984,388.50
4/30/1984,375.80
5/31/1984,384.30
6/29/1984,373.10
7/31/1984,342.40
8/31/1984,348.30
9/28/1984,343.80
10/31/1984,333.50
11/30/1984,329.00
12/31/1984,308.30
1/31/1985,306.70
2/28/1985,287.80
3/29/1985,329.30
4/30/1985,321.40
5/31/1985,314.00
6/28/1985,317.80
7/31/1985,327.50
8/30/1985,333.30
9/30/1985,325.80
10/31/1985,325.10
11/29/1985,325.30
12/31/1985,326.80
1/31/1986,350.50
2/28/1986,338.20
3/31/1986,344.00
4/30/1986,345.80
5/30/1986,343.20
6/30/1986,346.80
7/31/1986,357.50
8/29/1986,384.70
9/30/1986,423.20
10/31/1986,401.00
11/28/1986,389.50
12/31/1986,388.80
1/30/1987,400.50
2/27/1987,405.90
3/31/1987,421.00
4/30/1987,453.30
5/29/1987,451.00
6/30/1987,447.30
7/31/1987,462.50
8/31/1987,453.40
9/30/1987,459.50
10/30/1987,468.80
11/30/1987,492.50
12/31/1987,484.10
1/29/1988,458.00
2/29/1988,426.20
3/31/1988,457.00
4/29/1988,449.00
5/31/1988,455.50
6/30/1988,436.60
7/29/1988,436.80
8/31/1988,427.80
9/30/1988,396.70
10/31/1988,412.40
11/30/1988,422.60
12/30/1988,410.30
1/31/1989,394.00
2/28/1989,387.00
3/31/1989,383.20
4/28/1989,377.60
5/31/1989,361.80
6/30/1989,373.00
7/31/1989,368.30
8/31/1989,359.80
