,month_year,cbsa_code,site,aqi
1221,12-2016,47220,0007,33.48275862068966
1170,12-2016,19820,0093,51.310344827586206
1146,12-2016,16980,3301,35.333333333333336
1147,12-2016,16980,4002,20.833333333333332
1148,12-2016,16980,4007,42.76190476190476
1149,12-2016,16980,4201,40.891891891891895
1150,12-2016,16980,6005,22.8
1151,12-2016,17460,0004,37.55555555555556
1152,12-2016,17460,0007,33.25
1153,12-2016,17460,0034,37.9
1154,12-2016,17460,0038,45.5
1155,12-2016,17460,0045,44.9
1156,12-2016,17460,0060,44.6
1157,12-2016,17460,0065,45.9
1158,12-2016,17460,1002,36.3
1159,12-2016,17460,3002,36.30769230769231
1160,12-2016,19820,0001,39.575
1161,12-2016,19820,0005,37.3
1162,12-2016,19820,0009,36.3
1163,12-2016,19820,0015,49.3
1164,12-2016,19820,0016,43.6
1165,12-2016,19820,0019,40.4
1166,12-2016,19820,0025,30.375
1167,12-2016,19820,0033,51.733333333333334
1168,12-2016,19820,0036,42.875
1144,12-2016,16980,2004,30.8
1143,12-2016,16980,1016,32.57142857142857
1142,12-2016,16980,1011,34.37931034482759
1129,12-2016,16980,0001,22.6
1119,12-2016,10300,0007,40.6
1120,12-2016,10420,0002,41.142857142857146
1121,12-2016,10420,0017,39.91111111111111
1122,12-2016,10420,0023,37.55555555555556
1123,12-2016,11460,0008,33.166666666666664
1124,12-2016,12100,0006,26.88888888888889
1125,12-2016,12100,1006,34.1
1126,12-2016,15180,0006,30.333333333333332
1127,12-2016,15940,0017,40.36363636363637
1128,12-2016,15940,0020,36.5
1130,12-2016,16980,0003,31.77777777777778
1141,12-2016,16980,1002,29.0
1131,12-2016,16980,0006,32.8
1132,12-2016,16980,0007,28.375
1133,12-2016,16980,0019,32.0
1134,12-2016,16980,0022,37.905660377358494
1135,12-2016,16980,0024,36.93617021276596
1136,12-2016,16980,0026,35.77777777777778
1137,12-2016,16980,0031,23.6
1138,12-2016,16980,0052,31.7
1139,12-2016,16980,0057,30.2
1140,12-2016,16980,0076,29.25
1169,12-2016,19820,0039,40.774193548387096
1145,12-2016,16980,3103,38.42857142857143
1171,12-2016,19820,0095,38.67741935483871
1196,12-2016,37980,0002,48.093333333333334
1198,12-2016,37980,0004,39.76470588235294
1199,12-2016,37980,0048,47.193548387096776
1200,12-2016,37980,0055,39.89655172413793
1201,12-2016,37980,0057,38.0
1202,12-2016,37980,0075,45.67741935483871
1203,12-2016,37980,0076,42.70967741935484
1204,12-2016,37980,0100,47.73529411764706
1205,12-2016,37980,0109,38.55172413793103
1206,12-2016,37980,1003,35.0
1208,12-2016,37980,1008,31.032258064516128
1209,12-2016,37980,1012,45.666666666666664
1210,12-2016,37980,2004,37.20967741935484
1211,12-2016,39740,0011,45.94642857142857
1212,12-2016,40140,0009,36.625
1213,12-2016,40140,0027,59.06666666666667
1214,12-2016,40140,0306,33.36065573770492
1215,12-2016,40140,1016,30.11111111111111
1216,12-2016,40140,2002,44.94444444444444
1217,12-2016,40140,5001,15.25
1218,12-2016,40140,8001,47.05263157894737
1219,12-2016,40140,8005,58.84375
1220,12-2016,40140,9004,50.0
1172,12-2016,20100,0002,27.0
1197,12-2016,37980,0003,41.12
1207,12-2016,37980,1007,38.9
1195,12-2016,37100,3001,27.59259259259259
1184,12-2016,31080,4004,46.4
1174,12-2016,22420,0021,33.8
1175,12-2016,31080,0002,36.6
1176,12-2016,31080,0007,46.225806451612904
1177,12-2016,31080,1103,49.885714285714286
1178,12-2016,31080,1201,58.0
1179,12-2016,31080,1302,56.3
1180,12-2016,31080,1602,58.5
1181,12-2016,31080,2005,43.3
1182,12-2016,31080,2022,30.4
1183,12-2016,31080,4002,47.064516129032256
1173,12-2016,20100,0003,35.1
1185,12-2016,31080,4008,55.97826086956522
1187,12-2016,32580,0043,33.5
1188,12-2016,32580,1046,34.111111111111114
1189,12-2016,33140,0011,32.4
1190,12-2016,33780,0006,41.0
1191,12-2016,37100,0007,38.45161290322581
1192,12-2016,37100,0009,25.451612903225808
1193,12-2016,37100,1004,29.870967741935484
1194,12-2016,37100,2002,34.0
1186,12-2016,31080,9033,28.08695652173913
1048,11-2016,17460,0004,37.8
1052,11-2016,17460,0045,47.875
1051,11-2016,17460,0038,42.76470588235294
1050,11-2016,17460,0034,38.8
1049,11-2016,17460,0007,27.692307692307693
1044,11-2016,16980,4002,39.0
1047,11-2016,16980,6005,42.25
1046,11-2016,16980,4201,36.625
1045,11-2016,16980,4007,38.714285714285715
1054,11-2016,17460,0065,45.7
1043,11-2016,16980,3301,43.0
1053,11-2016,17460,0060,45.6
1059,11-2016,19820,0009,36.8
1055,11-2016,17460,1002,40.0
1056,11-2016,17460,3002,39.42857142857143
1057,11-2016,19820,0001,39.85
1058,11-2016,19820,0005,41.4
1060,11-2016,19820,0015,47.3
1061,11-2016,19820,0016,43.2
1062,11-2016,19820,0019,38.9
1063,11-2016,19820,0025,39.5
1064,11-2016,19820,0033,46.81818181818182
1065,11-2016,19820,0036,37.2
1041,11-2016,16980,2004,35.5
1042,11-2016,16980,3103,43.583333333333336
1016,11-2016,10300,0007,38.7
1040,11-2016,16980,1016,50.833333333333336
1039,11-2016,16980,1011,38.9
1067,11-2016,19820,0093,50.95652173913044
1017,11-2016,10420,0002,37.2
1018,11-2016,10420,0017,44.19512195121951
1019,11-2016,10420,0023,38.857142857142854
1020,11-2016,11460,0008,44.416666666666664
1021,11-2016,12100,0006,27.8
1022,11-2016,12100,1006,31.555555555555557
1023,11-2016,15180,0006,30.6
1024,11-2016,15940,0017,49.5
1025,11-2016,15940,0020,40.666666666666664
1026,11-2016,16980,0001,44.375
1027,11-2016,16980,0003,40.375
1028,11-2016,16980,0006,39.3
1029,11-2016,16980,0007,40.333333333333336
1030,11-2016,16980,0019,34.1
1031,11-2016,16980,0022,39.0
1032,11-2016,16980,0024,36.24444444444445
1033,11-2016,16980,0026,39.8
1034,11-2016,16980,0031,39.583333333333336
1035,11-2016,16980,0052,50.4
1036,11-2016,16980,0057,46.2
1037,11-2016,16980,0076,45.4
1038,11-2016,16980,1002,40.2
1066,11-2016,19820,0039,41.206896551724135
1094,11-2016,37980,0003,38.3
1068,11-2016,19820,0095,39.72222222222222
1107,11-2016,37980,2004,39.924050632911396
1097,11-2016,37980,0055,46.291666666666664
1098,11-2016,37980,0057,40.46666666666667
1099,11-2016,37980,0075,43.833333333333336
1100,11-2016,37980,0076,44.03703703703704
1101,11-2016,37980,0100,41.035714285714285
1102,11-2016,37980,0109,44.45454545454545
