,month_year,cbsa_code,site,sample
1051,12-2016,47220,0007,8.32788732394365
1007,12-2016,19820,0009,9.3
987,12-2016,16980,1011,8.57417127071823
988,12-2016,16980,1016,8.142857142857142
989,12-2016,16980,2004,7.6
990,12-2016,16980,3103,9.507142857142856
991,12-2016,16980,3301,8.644444444444444
992,12-2016,16980,4002,5.016666666666667
993,12-2016,16980,4007,11.488780487804885
994,12-2016,16980,4201,10.770147255689421
995,12-2016,16980,6005,5.4399999999999995
996,12-2016,17460,0004,9.4
997,12-2016,17460,0007,7.493333333333334
998,12-2016,17460,0034,9.31
999,12-2016,17460,0038,12.395
1000,12-2016,17460,0045,11.11
1001,12-2016,17460,0060,11.249999999999998
1002,12-2016,17460,0065,11.870000000000001
1003,12-2016,17460,1002,8.9
1004,12-2016,17460,3002,8.566666666666668
1005,12-2016,19820,0001,9.9975
985,12-2016,16980,0076,7.325
984,12-2016,16980,0057,7.74
983,12-2016,16980,0052,7.57
972,12-2016,15940,0017,9.615384615384615
964,12-2016,10300,0007,10.319999999999999
965,12-2016,10420,0002,10.242857142857142
966,12-2016,10420,0017,10.164893617021246
967,12-2016,10420,0023,9.377777777777778
968,12-2016,11460,0008,8.030769230769229
969,12-2016,12100,0006,6.433333333333333
970,12-2016,12100,1006,8.200000000000001
971,12-2016,15180,0006,7.299999999999999
973,12-2016,15940,0020,8.870000000000001
982,12-2016,16980,0031,5.954545454545454
974,12-2016,16980,0001,5.43
975,12-2016,16980,0003,7.7444444444444445
976,12-2016,16980,0006,8.22
977,12-2016,16980,0007,6.800000000000001
978,12-2016,16980,0019,7.790000000000001
979,12-2016,16980,0022,10.317344173441734
980,12-2016,16980,0024,9.676322751322736
981,12-2016,16980,0026,8.988888888888889
1006,12-2016,19820,0005,9.57
986,12-2016,16980,1002,7.011111111111112
1008,12-2016,19820,0015,13.09
1030,12-2016,31080,4008,16.597130242825617
1032,12-2016,32580,0043,8.0
1033,12-2016,32580,1046,8.277777777777779
1034,12-2016,33140,0011,7.87
1035,12-2016,33780,0006,10.549999999999999
1036,12-2016,37100,0007,10.380243572395129
1037,12-2016,37100,0009,6.661224489795918
1038,12-2016,37100,1004,7.203778677462888
1039,12-2016,37100,2002,9.336741649625084
1040,12-2016,37100,3001,6.926940639269406
1041,12-2016,39740,0011,14.20308310991958
1042,12-2016,40140,0009,8.859701492537313
1043,12-2016,40140,0027,15.664462809917369
1044,12-2016,40140,0306,8.265529010238907
1045,12-2016,40140,1016,8.781781376518218
1046,12-2016,40140,2002,12.288888888888888
1047,12-2016,40140,5001,3.65
1048,12-2016,40140,8001,13.944736842105263
1049,12-2016,40140,8005,17.984375
1009,12-2016,19820,0016,11.43
1031,12-2016,31080,9033,6.9500866551126546
1050,12-2016,40140,9004,14.400000000000002
1029,12-2016,31080,4004,12.349999999999998
1019,12-2016,22420,0021,8.43
1011,12-2016,19820,0025,7.2625
1012,12-2016,19820,0033,14.173333333333336
1013,12-2016,19820,0036,11.1625
1014,12-2016,19820,0039,10.509677419354839
1015,12-2016,19820,0093,14.040201729106617
1016,12-2016,19820,0095,9.72967863894141
1017,12-2016,20100,0002,6.049126637554588
1018,12-2016,20100,0003,8.58
1010,12-2016,19820,0019,10.59
1020,12-2016,31080,0002,10.620000000000001
1022,12-2016,31080,1103,14.345714285714289
1023,12-2016,31080,1201,16.985714285714284
1024,12-2016,31080,1302,15.899999999999997
1025,12-2016,31080,1602,16.86
1026,12-2016,31080,2005,12.33
1027,12-2016,31080,2022,7.9300000000000015
1028,12-2016,31080,4002,12.780645161290321
1021,12-2016,31080,0007,12.841935483870968
903,11-2016,16980,3301,11.288888888888891
906,11-2016,16980,4201,8.7875
905,11-2016,16980,4007,9.542857142857143
904,11-2016,16980,4002,9.566666666666668
899,11-2016,16980,1011,9.621258741258757
902,11-2016,16980,3103,10.928571428571429
901,11-2016,16980,2004,8.959999999999999
900,11-2016,16980,1016,14.141666666666666
908,11-2016,17460,0004,9.559999999999999
907,11-2016,16980,6005,11.175
912,11-2016,17460,0045,12.325000000000001
909,11-2016,17460,0007,7.906666666666666
910,11-2016,17460,0034,10.18
911,11-2016,17460,0038,11.924999999999999
913,11-2016,17460,0060,12.180000000000001
914,11-2016,17460,0065,12.349999999999998
915,11-2016,17460,1002,10.179999999999998
916,11-2016,17460,3002,9.34
917,11-2016,19820,0001,10.432499999999997
897,11-2016,16980,0076,12.440000000000001
898,11-2016,16980,1002,10.18
887,11-2016,16980,0003,10.125
896,11-2016,16980,0057,12.3
895,11-2016,16980,0052,13.76
876,11-2016,10300,0007,9.940000000000001
877,11-2016,10420,0002,9.49
878,11-2016,10420,0017,11.734203296703294
879,11-2016,10420,0023,10.071428571428571
880,11-2016,11460,0008,11.421428571428574
881,11-2016,12100,0006,6.659999999999999
882,11-2016,12100,1006,7.58888888888889
883,11-2016,15180,0006,7.7
884,11-2016,15940,0017,12.953333333333331
885,11-2016,15940,0020,10.544444444444444
886,11-2016,16980,0001,11.1625
919,11-2016,19820,0009,9.43
888,11-2016,16980,0006,9.89
889,11-2016,16980,0007,10.266666666666667
890,11-2016,16980,0019,8.3
891,11-2016,16980,0022,10.313269493844054
892,11-2016,16980,0024,9.096316507503404
893,11-2016,16980,0026,10.17
894,11-2016,16980,0031,9.939999999999998
918,11-2016,19820,0005,10.799999999999999
942,11-2016,31080,4008,16.93994490358129
920,11-2016,19820,0015,13.05
943,11-2016,31080,9033,7.179079497907949
945,11-2016,32580,1046,9.02222222222222
946,11-2016,33140,0011,8.639999999999999
947,11-2016,33780,0006,10.049999999999999
948,11-2016,37100,0007,8.026536312849162
949,11-2016,37100,0009,4.694249649368864
950,11-2016,37100,1004,5.855648535564853
951,11-2016,37100,2002,6.268479776847978
952,11-2016,37100,3001,6.606694560669456
953,11-2016,39740,0011,12.280349932705255
954,11-2016,40140,0009,7.797560975609756
955,11-2016,40140,0027,15.461241379310346
956,11-2016,40140,0306,6.502797202797203
957,11-2016,40140,1016,6.617747440273037
958,11-2016,40140,2002,7.6937500000000005
959,11-2016,40140,5001,3.6500000000000004
960,11-2016,40140,8001,10.394871794871795
961,11-2016,40140,8005,13.308823529411764
962,11-2016,40140,9004,8.877777777777778
921,11-2016,19820,0016,11.65
944,11-2016,32580,0043,6.1
963,11-2016,47220,0007,9.241761363636368
927,11-2016,19820,0093,14.22638146167556
931,11-2016,22420,0021,9.010000000000002
922,11-2016,19820,0019,10.3
923,11-2016,19820,0025,10.41
924,11-2016,19820,0033,13.613333333333335
925,11-2016,19820,0036,9.680000000000001
926,11-2016,19820,0039,10.78965517241379
928,11-2016,19820,0095,10.025341426403639
929,11-2016,20100,0002,8.267184466019415
930,11-2016,20100,0003,7.15
941,11-2016,31080,4004,11.320689655172416
932,11-2016,31080,0002,8.69
937,11-2016,31080,1602,13.175
933,11-2016,31080,0007,10.73703703703704
939,11-2016,31080,2022,6.81
938,11-2016,31080,2005,9.54
940,11-2016,31080,4002,11.262068965517242
936,11-2016,31080,1302,15.709999999999999
935,11-2016,31080,1201,9.455555555555556
934,11-2016,31080,1103,11.66764705882353
820,10-2016,17460,0004,5.88
812,10-2016,16980,1016,9.514285714285714
813,10-2016,16980,2004,6.32
814,10-2016,16980,3103,8.178571428571429
815,10-2016,16980,3301,8.16
816,10-2016,16980,4002,6.5
817,10-2016,16980,4007,8.190000000000001
818,10-2016,16980,4201,7.05
819,10-2016,16980,6005,6.539999999999999
832,10-2016,19820,0015,10.580000000000002
830,10-2016,19820,0005,5.25
821,10-2016,17460,0007,5.306666666666668
822,10-2016,17460,0034,6.62
823,10-2016,17460,0038,8.685
824,10-2016,17460,0045,7.949999999999999
825,10-2016,17460,0060,8.360000000000001
826,10-2016,17460,0065,10.029999999999998
827,10-2016,17460,1002,6.289999999999999
828,10-2016,17460,3002,5.239999999999999
829,10-2016,19820,0001,6.668292682926832
810,10-2016,16980,1002,7.088888888888889
811,10-2016,16980,1011,6.847770700636941
800,10-2016,16980,0006,6.62
809,10-2016,16980,0076,6.859999999999999
797,10-2016,15940,0020,6.63
788,10-2016,10300,0007,5.577777777777778
789,10-2016,10420,0002,6.17
791,10-2016,10420,0023,7.029999999999999
792,10-2016,11460,0008,5.7733333333333325
793,10-2016,12100,0006,4.964646464646465
794,10-2016,12100,1006,6.525
795,10-2016,15180,0006,6.1499999999999995
796,10-2016,15940,0017,7.566666666666667
798,10-2016,16980,0001,6.05
808,10-2016,16980,0057,6.36
799,10-2016,16980,0003,7.33
801,10-2016,16980,0007,7.0874999999999995
802,10-2016,16980,0019,4.820000000000001
803,10-2016,16980,0022,7.15327510917031
804,10-2016,16980,0024,5.607342143906027
805,10-2016,16980,0026,7.42
806,10-2016,16980,0031,6.786666666666666
807,10-2016,16980,0052,8.855555555555554
831,10-2016,19820,0009,5.31
790,10-2016,10420,0017,7.638605898123338
833,10-2016,19820,0016,6.55
855,10-2016,31080,9033,6.994054054054052
